Player;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991
Anthony Bennett;1015696;4836300;5563920;5324280;;;;;;;;;;;;;;;;;;;;;;;
Anthony Bonner;;;;;;;;;;;;;;;;;;;;;;1690000;845000;650000;763000;568000;
Anthony Bowie;;;;;;;;;;;;;;;;;;;;;;370000;900000;900000;900000;;
Anthony Brown;874636;700000;;;;;;;;;;;;;;;;;;;;;;;;;
Anthony Carter;;;;;;1352181;1352181;1306455;1147533;1103225;;900498;807546;751179;3656250;3250000;1200000;385000;;;;;;;;;
Anthony Cook;;;;;;;;;;;;;;;;;;;;;;225000;;650000;570000;480000;370000
Anthony Davis;22116750;7070730;5607240;5375760;5144280;;;;;;;;;;;;;;;;;;;;;;
Anthony Frederick;;;;;;;;;;;;;;;;;;;;;;;;;;130000;30000
Anthony Goldwire;;;;;;;;;;;;74652;116713;;139925;;;;;330000;250000;;;;;;
Anthony Johnson;;;;;;;;2160000;1910000;2860000;2640000;2420000;2200000;813679;699935;;1200000;1100000;1000000;242000;;;;;;;
Anthony Mason;;;;;;;;;;;;;4710435;4348094;4370819;4538000;5550000;4860100;4165000;3471500;2777000;3472000;1200000;1100000;273000;210000;
Anthony Miller;;;;;;;;;;;;;34118;;;;40000;30000;475000;272250;;550000;150000;;;;
Anthony Morrow;3488000;3344000;3200000;1027424;4000000;4000000;4000000;736420;442114;;;;;;;;;;;;;;;;;;
Anthony Parker;;;;;;2250000;2855700;2644230;4550000;4350000;4150000;;;;;;;980280;867120;754080;;;;;;;
Anthony Peeler;;;;;;;;;;;;;1600000;1070000;3350812;2978500;2740000;2495500;2254000;2012500;1540000;1330000;1120000;910000;700000;;
Anthony Pullard;;;;;;;;;;;;;;;;;;;;;;;;;140000;;
Anthony Randolph;;;1825359;1750000;1674641;2911231;1965720;1837560;1709280;;;;;;;;;;;;;;;;;;
Anthony Roberson;;;;;;;;;797581;;267111;398762;;;;;;;;;;;;;;;
Anthony Tolliver;8000000;3000000;3000000;1027424;915852;2050000;2200000;359546;26007;;;;;;;;;;;;;;;;;;
Anthony Tucker;;;;;;;;;;;;;;;;;;;;;;225000;150000;;;;
Antoine Carr;;;;;;;;;;;;;;;;;;1000000;Unknown;1600000;2300000;2525000;666600;1353000;1233000;1263000;610000
Antoine Walker;;;;;;;;;8854475;8329640;7606820;6880000;14625000;13500000;12375000;11250000;10130000;9000000;2107000;1864080;1620000;;;;;;
Antoine Wright;;;;;;;992680;2110550;1800000;1680600;1570920;1461360;;;;;;;;;;;;;;;
Antonio Anderson;;;;;;;;139968;;;;;;;;;;;;;;;;;;;
Antonio Burks;;;;;;;;;;;;641748;385277;;;;;;;;;;;;;;
Antonio Daniels;;;;;;;;5863580;6200000;5800000;5400000;5000000;2200000;2200000;3375000;3000000;2820000;2794920;2472000;2149920;;;;;;;
Antonio Davis;;;;;;;;;;;;13925000;12925000;12925000;12000000;11000000;5500000;4200000;3500000;4500000;5200000;800000;700000;565000;;;
Antonio Harvey;;;;;;;;;;;;;;;60361;715850;611000;510000;;;247500;400000;325000;150000;;;
Antonio Lang;;;;;;;;;;;;;;;;;;;;;520000;423000;325000;;;;
Antonio McDyess;;;;;;2640000;4860000;3000000;3000000;6373900;5883600;5393300;4903000;13500000;12600000;11700000;10800000;9900000;9000000;2876640;2545000;2213000;;;;;
Antonis Fotsis;;;;;;;;;;;;;;;;332817;;;;;;;;;;;
Archie Goodwin;2094089;1160160;1112280;1064400;;;;;;;;;;;;;;;;;;;;;;;
Arinze Onuaku;980431;;43226;57668;;;;;;;;;;;;;;;;;;;;;;;
Armen Gilliam;;;;;;;;;;;;;;;;;;3707200;3244000;2780400;2317000;1920000;1560000;1200000;2300000;1350000;1200000
Armon Johnson;;;;;;762195;473604;;;;;;;;;;;;;;;;;;;;
Arnett Moultrie;;;1136160;1089240;1042320;;;;;;;;;;;;;;;;;;;;;;
Aron Baynes;6500000;6500000;2100000;788872;401170;;;;;;;;;;;;;;;;;;;;;;
Arron Afflalo;12500000;8000000;7500000;7500000;7750000;7562500;1959577;1086240;1015440;944520;;;;;;;;;;;;;;;;;
Art Long;;;;;;;;;;;;;;;193424;465850;;25000;;;;;;;;;
Arthur Johnson;;;;;;;;;;;;;385277;;;;;;;;;;;;;;
Arvydas Macijauskas;;;;;;;;;;500000;500000;2500000;;;;;;;;;;;;;;;
Arvydas Sabonis;;;;;;;;;;;;;3000000;;6850000;;11250000;9818481;9000000;3080000;2640000;2200000;;;;;
Ashraf Amaya;;;;;;;;;;;;;;;;;;;;;247500;225000;;;;;
Askia Jones;;;;;;;;;;;;;;;;;;;;;;;150000;;;;
Austin Croshere;;;;;;;;;527185;1219590;7300000;7900000;8260000;7610000;6960000;6310000;5300000;1515120;1340000;1165440;;;;;;;
Austin Daye;;;200166;947907;2958077;1929600;1803720;1677840;;;;;;;;;;;;;;;;;;;
Austin Rivers;11000000;3110796;2439840;2339040;2238360;;;;;;;;;;;;;;;;;;;;;;
Avery Bradley;8269663;7730337;7191011;2511432;1630800;1524480;1418160;;;;;;;;;;;;;;;;;;;;
Avery Johnson;;;;;;;;;;;;;1100000;5445600;4991800;4538000;8000000;3200000;3000000;3000000;1040000;845000;650000;300000;140000;;50000
Awvee Storey;;;;;;;;;;711517;;641748;84573;;;;;;;;;;;;;;
Axel Toupane;;127389;;;;;;;;;;;;;;;;;;;;;;;;;
B.J. Armstrong;;;;;;;;;;;;;;;;;;510000;2800000;2600000;2400000;2400000;2800000;620000;540000;435000;425000
B.J. Tyler;;;;;;;;;;;;;;;;;;1614000;1411000;1200000;1040000;845000;715000;;;;
Bakari Hendrix;;;;;;;;;;;;;;;;;;31706;;;;;;;;;
Baron Davis;;;;;14850000;13900000;13000000;12150000;11250000;16440000;15070000;13700000;12330000;10960000;3942922;3119400;2916000;2712480;;;;;;;;;
Bart Kofoed;;;;;;;;;;;;;;;;;;;;;;;;;140000;130000;
Beau Beech;45000;;;;;;;;;;;;;;;;;;;;;;;;;;
Ben Bentil;250000;;;;;;;;;;;;;;;;;;;;;;;;;;
