
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
120,A.J. Bouye,HOU,23,cb/db/lcb,14,6,3,120,1,67,10,1,0,1,0,0,,59,52,7,1,0,
121,David Hawthorne,NOR,29,LB,12,12,1,10,0,10,3,,,,,,3.0,83,52,31,7,5,
122,Kendrick Lewis,HOU,26,FS,16,16,2,32,1,27,6,3,0,1,0,0,,84,52,32,4,1,
123,Clay Matthews,GNB,28,lolb/mlb/rolb,16,16,1,40,0,40,9,2,0,0,0,0,11.0,71,52,19,16,22,
124,Richard Sherman,SEA,26,cb/LCB,16,16,4,81,0,53,8,1,0,0,0,0,,67,52,15,2,0,
125,D.J. Swearinger,HOU,23,SS,16,12,2,31,0,25,6,3,0,1,0,0,1.0,74,52,22,3,3,
126,Kenny Vaccaro,NOR,23,fs/SS,15,14,2,45,0,45,5,,,,,,1.0,75,52,23,1,2,
127,Nate Allen,PHI,27,S,15,15,4,45,0,40,5,1,0,3,25,0,1.0,62,51,11,1,1,
128,Ryan Kerrigan,WAS,26,LOLB,16,16,0,0,0,0,1,5,0,1,0,0,13.5,64,51,13,18,19,
129,Captain Munnerlyn,MIN,26,LCB,16,16,2,1,0,1,5,0,0,1,0,0,,61,51,10,2,0,
130,Terence Newman,CIN,36,LCB,13,13,1,3,0,3,14,,,,,,,75,51,24,0,0,
131,J.T. Thomas,JAX,26,lb/MLB,16,10,2,10,0,10,5,2,0,1,0,1,,85,51,34,2,0,
132,Avery Williamson,TEN,22,LB,16,12,0,0,0,0,4,0,0,2,43,0,3.0,79,51,28,7,6,
133,Vontae Davis,IND,26,cb/RCB,15,15,4,72,0,42,18,2,0,1,-9,0,,58,50,8,0,1,
134,Kyle Fuller,CHI,22,CB/lcb/rcb,16,14,4,81,0,31,10,3,0,0,0,0,,64,50,14,3,0,
135,Gerald Hodges,MIN,23,lb,14,7,1,27,1,27,6,,,,,,0.5,65,50,15,2,2,
136,George Iloka,CIN,24,SS,16,16,3,58,0,28,10,,,,,,,79,50,29,2,2,
137,Koa Misi,MIA,27,LB,11,11,0,0,0,0,1,0,0,1,0,0,1.0,66,50,16,4,4,
