,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
138,Sam Shields,GNB,26,RCB,14,14,4,3,0,7,16,,,,,,,61,51,10,0,1,
139,Steve Gregory,NWE,30,lb/S,14,11,0,0,0,0,3,,,,,,1.0,79,50,29,0,2,
140,Ryan Mundy,NYG,28,db/fs/s,16,9,1,91,0,91,2,0,0,1,0,0,1.0,77,50,27,4,1,
141,Troy Polamalu,PIT,32,SS,16,16,2,36,1,19,11,5,0,1,0,0,2.0,69,50,19,7,2,
142,Robert Quinn,STL,23,DE,16,16,0,0,0,0,1,7,0,2,33,1,19.0,57,50,7,23,34,
143,Johnthan Banks,TAM,24,cb/db/RCB,16,16,3,33,0,18,5,,,,,,,55,49,6,1,0,
144,Darius Butler,IND,27,cb/lcb,16,7,4,79,1,41,15,0,0,1,0,0,,63,49,14,1,1,
145,Louis Delmas,DET,26,FS,16,15,3,44,0,42,8,,,,,,2.0,64,49,15,4,3,
146,Tim Jennings,CHI,30,LCB,16,16,4,111,2,48,13,2,0,1,0,0,,57,49,8,0,0,
147,Kendrick Lewis,KAN,25,FS,16,15,1,1,0,1,4,,,,,,,61,49,12,3,2,
148,Reggie Nelson,CIN,30,FS,15,15,2,0,0,0,7,1,2,2,12,0,1.0,65,49,16,4,3,
149,Jimmy Smith,BAL,25,RCB,16,16,2,0,0,0,15,3,0,0,0,0,,58,49,9,1,0,
150,Alterraun Verner,TEN,25,CB,16,16,5,68,1,34,22,0,0,2,9,0,,57,49,8,0,0,
151,Mike Adams,DEN,32,fs/ss,16,7,1,3,0,3,6,0,0,1,0,0,,64,48,16,1,1,
152,Kyle Arrington,NWE,27,cb/db/lb/lcb/rcb/s,16,12,1,5,0,5,13,2,0,0,0,0,2.0,62,48,14,4,2,
153,Connor Barwin,PHI,27,LOLB,16,16,1,-2,0,-2,10,2,0,1,0,0,5.0,62,48,14,10,9,
154,Malcolm Jenkins,NOR,26,fs/S,14,14,2,35,0,31,6,2,0,0,0,0,2.5,76,48,28,4,3,
155,Leonard Johnson,TAM,23,cb/rcb,16,8,1,48,1,48,8,1,0,0,0,0,,62,48,14,0,0,
156,Da'Norris Searcy,BUF,25,fs/rcb/ss,16,7,1,32,1,32,7,0,0,2,74,1,3.5,71,48,23,5,4,
157,Brandon Spikes,NWE,26,LB,16,11,1,3,0,3,2,0,0,1,0,0,,86,48,38,6,0,
158,Manti Te'o,SDG,22,LB,13,13,0,0,0,0,4,,,,,,,73,48,25,6,0,
159,Cedric Thornton,PHI,25,DE,16,16,0,0,0,0,2,1,0,0,0,0,1.0,60,48,12,7,1,1
160,Joplo Bartu,ATL,23,LB,16,13,0,0,0,0,1,,,,,,3.5,84,47,37,8,8,
161,Reed Doughty,WAS,31,SS,15,8,1,25,0,25,2,,,,,,,80,47,33,1,0,
162,Josh Evans,JAX,22,FS,15,11,0,0,0,0,1,,,,,,,58,47,11,0,0,
163,Jeff Heath,DAL,22,s/SS,16,9,1,0,0,0,3,1,0,1,50,1,,60,47,13,1,1,
164,Ryan Kerrigan,WAS,25,LOLB,16,16,0,0,0,0,3,4,0,0,0,0,8.5,66,47,19,15,7,
165,Josh Robinson,MIN,22,LCB,10,10,0,0,0,0,4,1,0,0,0,0,,57,47,10,3,1,
166,Harrison Smith,MIN,24,fs,8,7,2,4,0,4,3,0,0,1,0,0,,58,47,11,2,0,
167,Terrell Suggs,BAL,31,LB,16,16,,,,,,0,0,1,0,0,10.0,80,47,33,13,19,
168,Russell Allen,JAX,27,LB/mlb,14,13,,,,,,0,0,2,0,0,1.0,64,46,18,4,1,
169,Marcell Dareus,BUF,23,DT,16,14,0,0,0,0,3,1,0,0,0,0,7.5,71,46,25,8,12,
170,Chris Owens,2TM,27,,13,2,0,0,0,0,3,1,0,1,0,0,2.5,58,46,12,1,2,
171,Olivier Vernon,MIA,23,DE,16,14,,,,,,,,,,,11.5,57,46,11,13,16,
172,K.J. Wright,SEA,24,LB/mlb,13,13,0,0,0,0,4,0,0,1,0,0,1.5,80,46,34,4,2,
173,Jonathan Bostic,CHI,22,MLB,16,9,1,0,0,0,1,0,0,1,0,0,2.0,57,45,12,5,2,
174,Zackary Bowman,CHI,29,rcb,16,7,3,67,1,43,8,,,,,,,48,45,3,2,0,
175,Calais Campbell,ARI,27,DE,16,16,0,0,0,0,6,1,0,2,2,0,9.0,58,45,13,14,21,1
176,Vontae Davis,IND,25,RCB,16,16,1,0,0,0,12,,,,,,,50,45,5,0,0,
177,Micah Hyde,GNB,23,cb,16,3,0,0,0,0,2,2,2,1,0,0,1.0,61,45,16,2,0,
178,Dee Milliner,NYJ,22,CB/lb,13,12,3,31,0,19,17,,,,,,,56,45,11,1,0,
179,Terence Newman,CIN,35,LCB,13,13,2,8,0,9,11,0,0,1,58,1,,52,45,7,4,0,
180,Cortez Allen,PIT,25,cb/lcb,14,8,2,43,1,40,13,,,,,,,51,44,7,1,0,
181,Trent Cole,PHI,31,ROLB,16,16,0,0,0,0,3,3,0,0,0,0,8.0,56,44,12,12,13,1
182,Thomas DeCoud,ATL,28,fs/S,15,15,0,0,0,0,2,0,0,1,30,1,,65,44,21,1,0,
183,Johnathan Joseph,HOU,29,RCB,15,15,3,64,0,32,16,,,,,,,47,44,3,1,1,
184,Keenan Lewis,NOR,27,RCB,16,16,4,34,0,20,9,1,0,0,0,0,,52,44,8,1,0,
185,Rashean Mathis,DET,33,RCB,15,13,0,0,0,0,15,,,,,,,47,44,3,2,0,
186,Robert Mathis,IND,32,LB,16,16,0,0,0,0,1,10,0,0,0,0,19.5,59,44,15,15,21,1
187,T.J. McDonald,STL,22,SS,10,10,1,-2,0,-2,4,,,,,,1.0,52,44,8,4,1,
188,Glover Quin,DET,27,SS,16,16,3,57,0,42,8,1,0,1,0,0,2.0,57,44,13,2,1,
189,Melvin White,CAR,23,lcb/RCB,15,10,2,9,1,8,5,1,0,0,0,0,,52,44,8,1,0,
190,Jahleel Addae,SDG,23,s/ss,16,2,0,0,0,0,3,1,0,1,0,0,1.0,51,43,8,2,1,
191,Nolan Carroll,MIA,26,CB/rcb,16,12,3,24,0,24,11,,,,,,2.0,47,43,4,2,2,
192,Patrick Chung,PHI,26,FS,12,10,0,0,0,0,3,0,0,1,0,0,,63,43,20,1,0,
193,Adrian Clayborn,TAM,25,DE,16,16,0,0,0,0,1,2,0,0,0,0,5.5,64,43,21,18,14,
194,Joe Haden,CLE,24,LCB,15,15,4,57,1,29,20,,,,,,,54,43,11,0,0,
195,George Iloka,CIN,23,SS,16,16,1,-1,0,-1,6,2,0,1,0,0,,68,43,25,0,0,
196,Brian Orakpo,WAS,27,ROLB,15,15,1,29,1,29,4,0,0,2,0,0,10.0,60,43,17,16,18,
197,Dontari Poe,KAN,23,NT,15,15,0,0,0,0,4,,,,,,4.5,52,43,9,5,7,
198,Brooks Reed,HOU,26,LB,16,16,,,,,,,,,,,3.0,56,43,13,9,6,
199,Darrelle Revis,TAM,28,LCB,16,16,2,3,0,3,11,2,0,1,0,0,1.0,50,43,7,3,1,
200,Sean Smith,KAN,26,RCB,16,15,2,96,1,100,13,,,,,,,47,43,4,0,0,
201,Muhammad Wilkerson,NYJ,24,DE,16,16,1,6,0,6,3,2,0,0,0,0,10.5,63,43,20,13,18,
202,Jason Worilds,PIT,25,lb/lolb/rolb,15,11,,,,,,2,0,0,0,0,8.0,63,43,20,10,23,
203,Brandon Boykin,PHI,23,cb/lcb,16,2,6,136,1,76,17,2,0,0,0,0,,47,42,5,0,2,
