year,name,salary,team
2004,Brian Finneran,"$885,000  ",atlanta-falcons
2004,Jay Feely,"$628,000  ",atlanta-falcons
2004,Jarret Johnson,"$383,000  ",baltimore-ravens
2004,Maake Kemoeatu,"$380,000  ",baltimore-ravens
2004,Chris Gamble,"$990,000  ",carolina-panthers
2004,Mike Gandy,"$628,000  ",carolina-panthers
2004,Bryant Johnson,"$1,113,750  ",arizona-cardinals
2004,Jeff Blake,"$1,000,000  ",arizona-cardinals
2004,Corey Dillon,"$4,200,000  ",cincinnati-bengals
2004,Peter Warrick,"$3,470,000  ",cincinnati-bengals
2004,Rod Smith,"$4,496,428  ",denver-broncos
2004,R.W. McQuarters,"$4,550,000  ",chicago-bears
2004,Marc Colombo,"$2,257,500  ",chicago-bears
2004,Gerard Warren,"$4,449,999  ",cleveland-browns
2004,Gerard Warren,"$4,133,333  ",cleveland-browns
2004,Pat Williams,"$3,634,000  ",buffalo-bills
2004,London Fletcher,"$3,400,000  ",buffalo-bills
2003,Brian St. Pierre,"$261,167  ",pittsburgh-steelers
2003,Brett Keisel,"$154,250  ",pittsburgh-steelers
2004,Roberto Garza,"$628,000  ",atlanta-falcons
2004,Bryan Scott,"$555,000  ",atlanta-falcons
2004,Bart Scott,"$380,000  ",baltimore-ravens
2004,Aubrayo Franklin,"$305,000  ",baltimore-ravens
2004,Rashard Anderson,"$566,500  ",carolina-panthers
2004,Will Witherspoon,"$553,333  ",carolina-panthers
2004,Kyle Vanden Bosch,"$908,750  ",arizona-cardinals
2004,Karlos Dansby,"$755,000  ",arizona-cardinals
2004,Jon Kitna,"$3,375,000  ",cincinnati-bengals
2004,Justin Smith,"$3,100,000  ",cincinnati-bengals
2004,Champ Bailey,"$2,509,150  ",denver-broncos
2004,Jake Plummer,"$1,664,150  ",denver-broncos
2004,Adewale Ogunleye,"$2,121,666  ",chicago-bears
2004,Thomas Jones,"$1,725,000  ",chicago-bears
2004,Ryan Tucker,"$2,450,000  ",cleveland-browns
2004,Kenard  Lang,"$2,354,362  ",cleveland-browns
2004,Mike Williams,"$2,939,583  ",buffalo-bills
2004,Ron Edwards,"$2,250,000  ",buffalo-bills
2004,Demorrio Williams,"$460,478  ",atlanta-falcons
2004,Matt Schaub,"$378,333  ",atlanta-falcons
2004,Tony Pashos,"$305,000  ",baltimore-ravens
2004,Daniel Wilcox,"$305,000  ",baltimore-ravens
2004,Keary Colbert,"$468,000  ",carolina-panthers
2004,Obafemi Ayanbadejo,"$635,000  ",arizona-cardinals
2004,Anquan Boldin,"$607,500  ",arizona-cardinals
2004,Brian Simmons,"$2,900,000  ",cincinnati-bengals
2004,Chad Johnson,"$2,685,750  ",cincinnati-bengals
2004,Darren Woodson,"$3,550,000  ",dallas-cowboys
2004,John Lynch,"$1,593,333  ",denver-broncos
2004,Ashley Lelie,"$1,295,000  ",denver-broncos
2004,Michael Haynes,"$1,445,666  ",chicago-bears
2004,Tommie Harris,"$1,270,000  ",chicago-bears
2004,Kellen Winslow,"$1,950,000  ",cleveland-browns
2004,Jeff Garcia,"$1,776,250  ",cleveland-browns
2004,Aaron Schobel,"$1,955,000  ",buffalo-bills
2004,Lee Evans,"$1,600,000  ",buffalo-bills
2004,Chad Lavalais,"$271,833  ",atlanta-falcons
2004,Keion Carpenter,"$205,000  ",atlanta-falcons
2004,Devard Darling,"$300,000  ",baltimore-ravens
2004,Roderick Green,"$268,333  ",baltimore-ravens
2004,Travelle Wharton,"$367,750  ",carolina-panthers
2004,Kindal Moorehead,"$345,333  ",carolina-panthers
2004,Neil Rackers,"$581,667  ",arizona-cardinals
2004,Rudi Johnson,"$1,824,000  ",cincinnati-bengals
2004,Levi Jones,"$1,725,000  ",cincinnati-bengals
2004,Greg Ellis,"$3,100,000  ",dallas-cowboys
2004,Keyshawn Johnson,"$3,000,000  ",dallas-cowboys
2004,Joey Harrington,"$3,443,750  ",detroit-lions
2004,Terrell Davis,"$1,255,071  ",denver-broncos
2004,D.J. Williams,"$1,200,000  ",denver-broncos
2004,Rex Grossman,"$1,255,000  ",chicago-bears
2004,Charles Tillman,"$794,750  ",chicago-bears
2004,Tim Couch,"$1,750,000  ",cleveland-browns
2004,William Green,"$1,466,666  ",cleveland-browns
2004,Nate Clements,"$1,508,025  ",buffalo-bills
2004,Willis McGahee,"$1,213,750  ",buffalo-bills
2004,Etric Pruitt,"$175,882  ",atlanta-falcons
2004,Etric Pruitt,"$73,950  ",atlanta-falcons
2004,Clarence Moore,"$246,500  ",baltimore-ravens
2004,Derek Abney,"$143,333  ",baltimore-ravens
2004,Michael Gaines,"$239,400  ",carolina-panthers
2004,Casey Cramer,"$230,000  ",carolina-panthers
2004,Josh McCown,"$541,000  ",arizona-cardinals
2004,Darnell Dockett,"$420,000  ",arizona-cardinals
2004,Reggie Kelly,"$1,650,000  ",cincinnati-bengals
2004,Terence Newman,"$2,689,117  ",dallas-cowboys
2004,Eddie George,"$2,200,000  ",dallas-cowboys
2004,James Hall,"$2,800,000  ",detroit-lions
2004,Charles Rogers,"$2,735,416  ",detroit-lions
2004,George Foster,"$1,181,250  ",denver-broncos
2004,Tank Johnson,"$625,000  ",chicago-bears
2004,Lance Briggs,"$477,500  ",chicago-bears
2004,Kelly Holcomb,"$1,300,000  ",cleveland-browns
2004,Jeff Faine,"$1,058,610  ",cleveland-browns
2004,J.P. Losman,"$1,078,000  ",buffalo-bills
2004,Quincy Wilson,"$73,950  ",atlanta-falcons
2004,Jason Wright,"$73,950  ",atlanta-falcons
2004,Josh Harris,"$73,950  ",baltimore-ravens
2004,Brian Rimpf,"$73,950  ",baltimore-ravens
2004,Sean Tufts,"$230,000  ",carolina-panthers
2004,Drew Carter,"$170,083  ",carolina-panthers
2004,Alex Stepanovich,"$345,833  ",arizona-cardinals
2004,Reggie Wells,"$331,000  ",arizona-cardinals
2004,Shayne Graham,"$1,297,000  ",cincinnati-bengals
2004,Rich Braham,"$1,200,000  ",cincinnati-bengals
2004,Roy Williams,"$2,071,428  ",dallas-cowboys
2004,Dan Campbell,"$1,557,000  ",dallas-cowboys
2004,Edgerrin James,"$7,412,558  ",indianapolis-colts
2004,David Carr,"$2,733,333  ",houston-texans
2004,Brett Favre,"$9,533,333  ",green-bay-packers
2004,Shaun Rogers,"$2,383,750  ",detroit-lions
2004,Roy Williams,"$2,060,000  ",detroit-lions
2004,Deltha O'Neal,"$650,000  ",denver-broncos
2004,Clinton Portis,"$645,000  ",denver-broncos
2004,Jeff George,"$455,000  ",chicago-bears
2004,Chris Chandler,"$416,668  ",chicago-bears
2004,Phil Dawson,"$800,000  ",cleveland-browns
2004,Antonio Bryant,"$623,750  ",cleveland-browns
2004,Rian Lindell,"$1,012,500  ",buffalo-bills
2004,Izell Reese,"$837,500  ",buffalo-bills
2004,Jason Wright,"$40,588  ",atlanta-falcons
2004,Etric Pruitt,"$21,000  ",atlanta-falcons
2004,Brian Rimpf,"$40,588  ",baltimore-ravens
2004,Tony Pashos,"$28,333  ",baltimore-ravens
2004,Mike Caldwell,"$100,000  ",carolina-panthers
2004,Sean Tufts,"$73,950  ",carolina-panthers
2004,Damien Anderson,"$310,000  ",arizona-cardinals
2004,Jeremy Bridges,"$305,000  ",arizona-cardinals
2004,Bobbie Williams,"$1,083,333  ",cincinnati-bengals
2004,Chris Perry,"$975,000  ",cincinnati-bengals
2004,Andre Gurode,"$658,678  ",dallas-cowboys
2004,Julius Jones,"$546,667  ",dallas-cowboys
2004,Peyton Manning,"$6,285,000  ",indianapolis-colts
2004,Marvin Harrison,"$4,300,000  ",indianapolis-colts
2004,Andre Johnson,"$2,682,204  ",houston-texans
2004,Dunta Robinson,"$1,776,500  ",houston-texans
2004,Ahman Green,"$4,882,000  ",green-bay-packers
2004,Darren Sharper,"$4,783,332  ",green-bay-packers
2004,Jeff Backus,"$1,420,000  ",detroit-lions
2004,Stockar McDougle,"$1,295,000  ",detroit-lions
2004,Cornell Green,"$635,000  ",denver-broncos
2004,Cooper Carlisle,"$627,000  ",denver-broncos
2004,Bernard Berrian,"$398,000  ",chicago-bears
2004,Jason McKie,"$380,000  ",chicago-bears
2004,Sean Jones,"$500,000  ",cleveland-browns
2004,Chris Crocker,"$450,600  ",cleveland-browns
2004,Chris Kelsay,"$648,750  ",buffalo-bills
2004,Brian Moorman,"$646,428  ",buffalo-bills
2004,Quincy Wilson,"$11,333  ",atlanta-falcons
2004,Josh Harris,"$20,666  ",baltimore-ravens
2004,Brian Rimpf,"$8,023  ",baltimore-ravens
2004,Sean Tufts,"$19,250  ",carolina-panthers
2004,Nick Leckey,"$257,833  ",arizona-cardinals
2004,John Navarre,"$244,833  ",arizona-cardinals
2004,Deltha O'Neal,"$935,000  ",cincinnati-bengals
2004,T.J. Houshmandzadeh,"$628,000  ",cincinnati-bengals
2004,Jason Witten,"$472,500  ",dallas-cowboys
2004,Kenyon Coleman,"$420,000  ",dallas-cowboys
2004,Tony Gonzalez,"$3,931,371  ",kansas-city-chiefs
2004,Marcus Pollard,"$3,109,166  ",indianapolis-colts
2004,Jeff Saturday,"$2,886,333  ",indianapolis-colts
2004,Jason Babin,"$972,670  ",houston-texans
2004,Billy Miller,"$950,000  ",houston-texans
2004,Chad Clifton,"$3,201,666  ",green-bay-packers
2004,Bubba Franks,"$1,469,000  ",green-bay-packers
2004,Jason Hanson,"$1,230,000  ",detroit-lions
2004,Kevin Jones,"$845,000  ",detroit-lions
2004,Mike Leach,"$560,000  ",denver-broncos
2004,Garrison Hearst,"$455,000  ",denver-broncos
2004,Mike Caldwell,"$375,000  ",chicago-bears
2004,Nathan Vasher,"$327,500  ",chicago-bears
2004,Andra Davis,"$421,000  ",cleveland-browns
2004,Luke McCown,"$340,000  ",cleveland-browns
2004,Alex Van Pelt,"$600,000  ",buffalo-bills
2004,Coy Wire,"$500,000  ",buffalo-bills
2004,Leon Joe,"$230,000  ",arizona-cardinals
2004,Dyshod Carter,"$215,294  ",arizona-cardinals
2004,Madieu Williams,"$530,000  ",cincinnati-bengals
2004,Robert Geathers,"$528,333  ",cincinnati-bengals
2004,Bradie James,"$388,000  ",dallas-cowboys
2004,Scott Shanle,"$313,667  ",dallas-cowboys
2004,Preist Holmes,"$2,708,214  ",kansas-city-chiefs
2004,Victor Riley,"$2,433,333  ",kansas-city-chiefs
2004,Fred Taylor,"$3,576,248  ",jacksonville-jaguars
2004,Walt Harris,"$2,872,500  ",indianapolis-colts
2004,Rob Morris,"$1,852,500  ",indianapolis-colts
2004,Jarrod Baxter,"$423,334  ",houston-texans
2004,Milford Brown,"$403,834  ",houston-texans
2004,Nail Diggs,"$1,433,333  ",green-bay-packers
2004,Donald Driver,"$1,236,667  ",green-bay-packers
2004,Boss Bailey,"$840,000  ",detroit-lions
2004,Dominic Raiola,"$806,333  ",detroit-lions
2004,Jason Baker,"$455,000  ",denver-broncos
2004,Shannon Sharpe,"$450,000  ",denver-broncos
2004,Craig Krenzel,"$268,500  ",chicago-bears
2004,Alfonso Marshall,"$135,000  ",chicago-bears
2004,Kirk Chambers,"$255,000  ",cleveland-browns
