,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,
37,Correll Buckhalter,PHI,25,rb,15,5,126,542,8,64,4.3,36.1,3
38,Warrick Dunn,ATL,28,rb,11,6,125,672,3,69,5.4,61.1,2
39,Charlie Garner,OAK,31,RB,14,9,120,553,3,33,4.6,39.5,1
40,Brian Westbrook,PHI,24,RB,15,8,117,613,7,62,5.2,40.9,3
41,DeShaun Foster,CAR,23,rb,14,2,113,429,0,21,3.8,30.6,3
42,Olandis Gary,DET,28,rb,13,1,113,384,2,27,3.4,29.5,1
43,Rock Cartwright,WAS,24,rb,15,3,107,411,4,22,3.8,27.4,2
44,Onterrio Smith,MIN,23,rb,15,3,107,579,5,47,5.4,38.6,1
45,James Jackson,CLE,27,rb,12,6,102,382,3,18,3.7,31.8,3
46,Duce Staley,PHI,28,rb,16,4,96,463,5,22,4.8,28.9,2
47,Quentin Griffin,DEN,22,rb,10,1,94,345,0,23,3.7,34.5,3
48,Stacey Mack,HOU,28,rb,8,5,93,253,4,13,2.7,31.6,2
49,Michael Bennett,MIN,25,rb,8,7,90,447,1,28,5.0,55.9,2
50,Emmitt Smith,ARI,34,rb,10,5,90,256,2,22,2.8,25.6,2
51,Arlen Harris,STL,23,rb,16,2,85,255,4,18,3.0,15.9,3
52,Ladell Betts,WAS,24,rb,9,1,77,255,2,13,3.3,28.3,0
53,Najeh Davenport,GNB,24,,15,0,77,420,2,76,5.5,28.0,4
54,Daunte Culpepper,MIN,26,QB,14,14,73,422,4,42,5.8,30.1,16
55,Lamar Gordon,STL,23,fb/rb,10,4,71,298,1,20,4.2,29.8,1
56,Donovan McNabb,PHI,27,QB,16,16,71,355,3,34,5.0,22.2,9
57,Mike Anderson,DEN,30,fb/rb,12,5,70,257,3,44,3.7,21.4,2
58,Richie Anderson,DAL,32,FB,15,8,70,306,1,19,4.4,20.4,1
59,Jamel White,CLE,26,rb,16,3,70,266,1,23,3.8,16.6,1
60,Quincy Carter,DAL,26,QB,16,16,68,257,2,19,3.8,16.1,10
61,Dorsey Levens,NYG,33,,11,0,68,197,3,17,2.9,17.9,0
62,Robert Holcombe,TEN,28,,15,0,63,201,1,21,3.2,13.4,2
63,Chester Taylor,BAL,24,fb,16,1,63,276,2,32,4.4,17.3,3
64,Kordell Stewart,CHI,31,qb,9,7,59,290,3,25,4.9,32.2,7
65,Brandon Bennett,CIN,30,,16,0,56,173,0,19,3.1,10.8,2
66,Chris Brown,TEN,22,,11,0,56,221,0,28,3.9,20.1,1
67,Jeff Garcia,SFO,33,QB,13,13,56,319,7,21,5.7,24.5,9
68,Lee Suggs,CLE,23,,7,0,56,289,2,78,5.2,41.3,2
69,Aaron Brooks,NOR,27,QB,16,16,54,175,2,15,3.2,10.9,14
70,LaBrandon Toefield,JAX,23,,16,0,53,212,2,30,4.0,13.3,0
71,Brock Forsey,CHI,23,rb,9,2,50,191,2,17,3.8,21.2,0
72,Zack Crockett,OAK,31,fb/rb,16,7,48,145,7,44,3.0,9.1,1
73,Chad Morton,WAS,26,rb,15,2,48,216,0,27,4.5,14.4,1
74,Ricky Williams,IND,25,rb/wr,13,4,48,155,2,19,3.2,11.9,2
75,LaMont Jordan,NYJ,25,,16,0,46,190,4,39,4.1,11.9,0
76,Tom Brady,NWE,26,QB,16,16,42,63,1,11,1.5,3.9,13
77,Jake Delhomme,CAR,28,QB,16,15,42,39,1,9,0.9,2.4,15
78,Travis Minor,MIA,24,,16,0,41,193,1,26,4.7,12.1,0
79,Aveion Cason,DAL,24,,10,0,40,220,2,63,5.5,22.0,2
80,Justin Fargas,OAK,23,rb,10,1,40,203,0,53,5.1,20.3,1
81,Tony Fisher,GNB,24,,15,0,40,200,1,19,5.0,13.3,0
82,Michael Vick,ATL,23,qb,5,4,40,255,1,43,6.4,51.0,4
83,Joe Burns,BUF,24,rb,16,1,39,113,0,12,2.9,7.1,1
84,Artose Pinner,DET,25,rb,3,2,39,99,0,12,2.5,33.0,0
85,Justin Griffith,ATL,23,FB/wr,16,11,38,168,0,15,4.4,10.5,0
86,Tony Hollings,HOU,22,rb,14,1,38,102,0,17,2.7,7.3,2
87,Jon Kitna,CIN,31,QB,16,16,38,113,0,15,3.0,7.1,9
88,Steve McNair,TEN,30,QB,14,14,38,138,4,23,3.6,9.9,12
89,Maurice Morris,SEA,24,rb,16,1,38,239,0,43,6.3,14.9,2
90,Jake Plummer,DEN,29,QB,11,11,37,205,3,40,5.5,18.6,4
91,Dominic Rhodes,IND,24,,11,0,37,157,0,25,4.2,14.3,0
92,Aaron Stecker,TAM,28,rb,16,1,37,125,0,15,3.4,7.8,1
93,Mack Strong,SEA,32,FB,16,9,37,174,1,21,4.7,10.9,1
94,Matt Hasselbeck,SEA,28,QB,16,16,36,125,2,18,3.5,7.8,4
95,Chris Fuamatu-Ma'afala,JAX,26,,13,0,35,144,1,18,4.1,11.1,0
96,Jay Fiedler,MIA,32,QB,12,11,34,88,3,14,2.6,7.3,7
97,Doug Flutie,SDG,41,qb,7,5,33,168,2,17,5.1,24.0,7
98,Jamal Robertson,SFO,26,,9,0,32,136,0,23,4.3,15.1,0
99,Jeff Blake,ARI,33,QB,13,13,30,177,2,19,5.9,13.6,8
100,Kyle Boller,BAL,22,QB,11,9,30,62,0,15,2.1,5.6,9
101,Joey Harrington,DET,25,QB,16,16,30,86,0,26,2.9,5.4,6
102,Marc Bulger,STL,26,QB,15,15,29,75,4,28,2.6,5.0,8
103,Peyton Manning,IND,27,QB,16,16,28,26,0,10,0.9,1.6,6
104,Josh McCown,ARI,24,qb,8,3,28,158,1,16,5.6,19.8,10
105,Adrian Murrell,DAL,33,,3,0,28,107,0,17,3.8,35.7,0
106,Anthony Wright,BAL,27,qb,7,7,28,73,0,17,2.6,10.4,9
107,Mike Alstott,TAM,30,fb,4,3,27,77,2,29,2.9,19.3,0
108,David Carr,HOU,24,QB,12,11,27,151,2,36,5.6,12.6,4
109,Mike Cloud,NWE,28,rb,5,1,27,118,5,42,4.4,23.6,0
110,Trent Green,KAN,33,QB,16,16,26,83,2,14,3.2,5.2,5
111,Brad Johnson,TAM,35,QB,16,16,25,33,0,13,1.3,2.1,6
112,Byron Leftwich,JAX,23,QB,15,13,25,108,2,18,4.3,7.2,11
113,Drew Bledsoe,BUF,31,QB,16,16,24,29,2,11,1.2,1.8,15
114,James Mungro,IND,25,,7,0,24,60,2,9,2.5,8.6,0
115,Tony Richardson,KAN,32,FB,16,10,24,60,0,8,2.5,3.8,0
116,Derrick Blaylock,KAN,24,,16,0,22,112,2,25,5.1,7.0,1
117,Adrian Peterson,CHI,24,rb,6,1,22,70,0,10,3.2,11.7,0
118,Drew Brees,SDG,24,QB,11,11,21,84,0,18,4.0,7.6,5
119,Larry Centers,NWE,35,fb,9,3,21,82,0,13,3.9,9.1,0
120,Chad Pennington,NYJ,27,QB,10,9,21,42,2,10,2.0,4.2,8
121,Stanley Pritchett,CHI,30,FB,16,11,21,93,2,18,4.4,5.8,0
122,Verron Haynes,PIT,24,,12,0,20,63,0,15,3.2,5.3,2
123,Larry Johnson,KAN,24,,6,0,20,85,1,15,4.3,14.2,0
124,Rick Mirer,OAK,33,QB,9,8,20,83,1,20,4.2,9.2,4
125,Rod Smart,CAR,26,,16,0,20,49,0,6,2.5,3.1,2
126,Erik Bickerstaff,DAL,23,,4,0,19,56,1,9,2.9,14.0,0
127,Ki-Jana Carter,NOR,30,,8,0,19,72,1,31,3.8,9.0,0
128,Sammy Morris,BUF,26,,9,0,19,70,1,12,3.7,7.8,0
129,Alan Ricard,BAL,26,FB/rb,16,13,19,79,0,30,4.2,4.9,0
130,Rabih Abdullah,CHI,28,,15,0,18,37,0,10,2.1,2.5,0
131,Damien Anderson,ARI,24,,16,0,18,68,0,17,3.8,4.3,0
132,Brett Favre,GNB,34,QB,16,16,18,15,0,7,0.8,0.9,5
133,Lorenzo Neal,SDG,33,FB,16,15,18,40,1,7,2.2,2.5,0
134,Peter Warrick,CIN,26,WR,15,14,18,157,0,50,8.7,10.5,2
135,Fred Beasley,SFO,29,FB,16,11,17,24,0,5,1.4,1.5,0
136,Kerry Collins,NYG,31,QB,13,13,17,49,0,22,2.9,3.8,12
137,Dante Hall,KAN,25,wr,16,2,16,73,0,16,4.6,4.6,3
138,Doug Chapman,MIN,26,,4,0,15,33,0,6,2.2,8.3,0
139,Tim Hasselbeck,WAS,25,qb,7,5,15,41,0,11,2.7,5.9,3
140,Jeremi Johnson,CIN,23,FB,16,13,15,41,1,12,2.7,2.6,0
141,Patrick Ramsey,WAS,24,QB,11,11,15,62,1,24,4.1,5.6,8
142,Antwaan Randle El,PIT,24,wr,16,1,15,75,0,32,5.0,4.7,5
143,Chris Chandler,CHI,38,qb,8,6,14,35,0,11,2.5,4.4,4
144,Doug Johnson,ATL,26,QB,10,8,14,21,1,13,1.5,2.1,3
145,Tommy Maddox,PIT,32,QB,16,16,13,12,0,6,0.9,0.8,5
146,Gus Frerotte,MIN,32,qb,16,2,12,-2,0,4,-0.2,-0.1,2
147,Dennis Northcutt,CLE,26,wr,15,6,12,83,0,23,6.9,5.5,2
148,Cecil Sapp,DEN,25,,1,0,12,31,0,5,2.6,31.0,0
149,Tim Couch,CLE,26,QB,10,8,11,39,1,17,3.5,3.9,6
150,Delvin Joyce,NYG,25,,16,0,11,39,0,8,3.5,2.4,1
151,Lamar Smith,NOR,33,,4,0,11,61,0,17,5.5,15.3,0
152,Steve Smith,CAR,24,WR,16,11,11,42,0,14,3.8,2.6,5
153,Travis Taylor,BAL,24,WR,16,16,11,62,0,16,5.6,3.9,0
154,Billy Volek,TEN,27,qb,7,1,11,4,1,5,0.4,0.6,1
155,Hines Ward,PIT,27,FL/wr,16,16,11,61,0,25,5.5,3.8,0
156,Kelly Campbell,MIN,23,fb/wr,15,6,10,71,0,19,7.1,4.7,2
157,Avon Cobourne,DET,24,,7,0,10,27,0,19,2.7,3.9,0
158,Laveranues Coles,WAS,26,WR,16,16,10,39,0,23,3.9,2.4,0
159,Nick Goings,CAR,25,,15,0,10,69,0,17,6.9,4.6,0
160,Santana Moss,NYJ,24,WR,16,12,10,67,0,25,6.7,4.2,4
161,Rod Smith,DEN,33,WR,15,15,10,98,0,26,9.8,6.5,0
162,Tim Dwight,SDG,28,wr,9,3,9,88,0,20,9.8,9.8,1
163,J.R. Redmond.00,OAK,26,,1,0,9,30,0,9,3.3,30.0,0
164,Cory Schlesinger,DET,31,FB,16,10,9,16,0,4,1.8,1.0,0
165,Musa Smith,BAL,21,,11,0,9,31,2,11,3.4,2.8,1
166,Mark Brunell,JAX,33,qb,3,3,8,19,1,12,2.4,6.3,1
167,Jesse Chatman,SDG,24,,16,0,8,17,0,6,2.1,1.1,0
168,Todd Collins,KAN,32,,5,0,8,-7,0,0,-0.9,-1.4,0
169,Woodrow Dantzler,ATL,24,,9,0,8,21,1,12,2.6,2.3,0
170,Kelly Holcomb,CLE,30,QB,10,8,8,7,0,6,0.9,0.7,5
171,Kurt Kittner,ATL,23,qb,7,4,8,13,0,7,1.6,1.9,0
172,Ashley Lelie,DEN,23,WR,16,10,8,43,0,13,5.4,2.7,0
173,Johnnie Morton,KAN,32,WR,16,16,8,94,0,39,11.8,5.9,0
174,Tim Rattay,SFO,26,qb,11,3,8,0,0,6,0.0,0.0,0
175,Marc Edwards,JAX,29,FB,16,16,7,13,1,3,1.9,0.8,0
176,Heath Evans,SEA,25,,14,0,7,24,0,8,3.4,1.7,0
177,Dan Kreider,PIT,26,FB,16,12,7,29,1,9,4.1,1.8,0
178,Tony Banks,HOU,30,qb,7,3,6,27,0,13,4.5,3.9,1
179,Troy Brown,NWE,32,WR,12,10,6,27,0,11,4.5,2.3,2
180,Reuben Droughns,DEN,25,fb/rb,15,4,6,14,0,12,2.3,0.9,0
181,Rich Gannon,OAK,38,qb,7,7,6,18,0,6,3.0,2.6,2
182,Brad Hoover,CAR,27,FB,16,9,6,21,0,5,3.5,1.3,1
183,Danny Kanell,DEN,30,qb,5,2,6,5,0,9,0.8,1.0,3
184,Randy Moss,MIN,26,WR,16,16,6,18,0,11,3.0,1.1,1
185,Patrick Pass,NWE,26,fb,13,1,6,27,0,11,4.5,2.1,0
186,Doug Pederson,GNB,35,,16,0,6,-5,0,0,-0.8,-0.3,0
187,Dave Ragone,HOU,24,qb,2,2,6,51,0,14,8.5,25.5,4
188,Vinny Testaverde,NYJ,40,qb,7,7,6,17,0,13,2.8,2.4,1
189,Marques Tuiasosopo,OAK,24,qb,4,1,6,22,0,8,3.7,5.5,2
190,Alvis Whitted,OAK,29,wr,16,2,6,37,0,16,6.2,2.3,0
191,Steve Beuerlein,DEN,38,qb,4,2,5,13,0,7,2.6,3.3,3
192,Anquan Boldin,ARI,23,WR,16,16,5,40,0,23,8.0,2.5,3
193,Reche Caldwell,SDG,24,wr,9,4,5,39,0,14,7.8,4.3,0
194,Andre' Davis,CLE,24,wr,16,8,5,28,0,7,5.6,1.8,2
195,Donald Driver,GNB,28,WR,15,15,5,51,0,45,10.2,3.4,0
196,Brian Griese,MIA,28,qb,5,5,5,15,0,9,3.0,3.0,4
197,Andre Johnson,HOU,22,WR,16,16,5,-10,0,11,-2.0,-0.6,0
198,Tee Martin,OAK,25,,2,0,5,28,0,8,5.6,14.0,3
199,Mike McMahon,DET,24,,3,0,5,32,0,12,6.4,10.7,1
200,James Thrash,PHI,28,WR,16,16,5,52,0,47,10.4,3.3,0
201,Bobby Wade,CHI,22,wr,12,1,5,14,0,6,2.8,1.2,1
202,Jonathan Wells,HOU,24,,13,0,5,14,0,10,2.8,1.1,0
203,David Allen,JAX,25,,14,0,4,8,0,6,2.0,0.6,2
204,Chris Chambers,MIA,25,WR,16,16,4,30,0,12,7.5,1.9,1
205,James Fenderson,NOR,27,,9,0,4,14,0,6,3.5,1.6,0
206,Joey Galloway,DAL,32,WR,15,13,4,22,0,10,5.5,1.5,1
207,Leon Johnson,SDG,29,,14,0,4,26,0,18,6.5,1.9,1
208,Shaun King,TAM,26,,3,0,4,20,0,12,5.0,6.7,0
209,Rob Konrad,MIA,27,FB/te,14,12,4,17,0,11,4.3,1.2,0
210,Brandon Manumaleuna,STL,23,rb/TE/wr,16,15,4,15,0,8,3.8,0.9,0
211,Jamar Martin,DAL,23,fb,14,1,4,7,0,3,1.8,0.5,0
212,Brian Mitchell,NYG,35,,16,0,4,20,1,18,5.0,1.3,5
213,Jesse Palmer,NYG,25,qb,6,3,4,23,0,26,5.8,3.8,2
214,Koren Robinson,SEA,23,WR,15,15,4,15,0,16,3.8,1.0,1
215,Alex Van Pelt,BUF,33,,6,0,4,-6,0,-1,-1.5,-1.0,0
216,Marty Booker,CHI,27,WR,13,13,3,-7,0,1,-2.3,-0.5,1
217,David Boston,SDG,25,WR,14,14,3,18,0,13,6.0,1.3,2
218,Todd Bouman,NOR,31,,4,0,3,1,0,2,0.3,0.3,1
219,Kerry Carter,SEA,23,,16,0,3,-2,0,1,-0.7,-0.1,0
220,Troy Edwards,JAX,26,WR,13,11,3,-9,0,4,-3.0,-0.7,0
221,Mike Furrey,STL,26,,13,0,3,5,0,2,1.7,0.4,3
222,Terry Glenn,DAL,29,WR,16,14,3,55,0,47,18.3,3.4,2
223,Rex Grossman,CHI,23,qb,3,3,3,-1,0,0,-0.3,-0.3,3
224,Az-Zahir Hakim,DET,26,WR,14,12,3,51,0,35,17.0,3.6,2
225,Todd Heap,BAL,23,TE,16,16,3,21,0,9,7.0,1.3,1
226,Brock Huard,IND,27,,2,0,3,8,0,9,2.7,4.0,1
227,Rob Johnson,2TM,30,,4,0,3,21,0,14,7.0,5.3,0
228,Derrick Mason,TEN,29,WR,16,16,3,11,0,7,3.7,0.7,0
229,Fred McCrary,NWE,31,fb,6,3,3,3,0,4,1.0,0.5,0
230,Quincy Morgan,CLE,26,WR,16,15,3,-4,0,2,-1.3,-0.3,0
231,Terrell Owens,SFO,30,WR,15,15,3,-2,0,3,-0.7,-0.1,0
232,Eric Parker,SDG,24,fb/wr,8,4,3,21,0,13,7.0,2.6,1
233,Josh Reed,BUF,23,WR,16,16,3,38,0,16,12.7,2.4,1
234,John Simon,WAS,25,,4,0,3,9,0,6,3.0,2.3,1
235,Reggie Swinton,2TM,28,,12,1,3,11,0,9,3.7,0.9,4
236,Matt Turk,MIA,35,P,13,0,3,30,0,23,10.0,2.3,0
237,B.J. Askew.00,NYJ,23,,16,0,2,9,0,6,4.5,0.6,0
238,Arnaz Battle,SFO,23,,8,0,2,14,0,9,7.0,1.8,0
239,Isaac Bruce,STL,31,WR,15,15,2,17,0,14,8.5,1.1,0
240,Antonio Bryant,DAL,22,wr,16,5,2,0,0,2,0.0,0.0,0
241,Cam Cleeland,STL,28,fb/rb/te/wr,16,10,2,-5,0,0,-2.5,-0.3,1
242,Chris Cole,DEN,26,,11,0,2,8,0,8,4.0,0.7,1
243,Trent Dilfer,SEA,31,,5,0,2,-1,0,0,-0.5,-0.2,2
244,Ike Hilliard,NYG,27,WR,13,12,2,19,0,13,9.5,1.5,2
245,James Hodgins,ARI,26,FB,16,8,2,6,0,3,3.0,0.4,1
246,Joe Horn,NOR,31,WR,15,14,2,15,0,13,7.5,1.0,2
247,Chad Hutchinson,DAL,26,,1,0,2,-3,0,-1,-1.5,-3.0,0
248,Bryan Johnson,WAS,25,FB,16,11,2,5,0,4,2.5,0.3,0
249,Eddie Johnson,MIN,22,P,14,0,2,15,0,15,7.5,1.1,2
250,Eddie Kennison,KAN,30,WR,16,16,2,9,0,5,4.5,0.6,1
251,Dan Klecko,NWE,22,nt,13,1,2,5,0,5,2.5,0.4,0
252,Jim Kleinsasser,MIN,26,TE,16,16,2,15,0,12,7.5,0.9,0
253,Charles Lee,TAM,26,wr,8,5,2,14,0,8,7.0,1.8,0
254,Quentin McCord,ATL,25,wr,9,2,2,2,0,1,1.0,0.2,0
255,Shaun McDonald,STL,22,wr,8,1,2,7,0,5,3.5,0.9,1
256,James McKnight,MIA,31,wr,15,1,2,75,1,68,37.5,5.0,1
257,Muhsin Muhammad,CAR,30,WR,15,15,2,-2,0,0,-1.0,-0.1,3
258,Craig Nall,GNB,24,,1,0,2,-2,0,-1,-1.0,-2.0,0
259,Peerless Price,ATL,27,WR,16,15,2,3,0,5,1.5,0.2,0
260,Chris Redman,BAL,26,,2,0,2,4,0,4,2.0,2.0,3
261,Charles Rogers,DET,22,wr,5,5,2,17,0,12,8.5,3.4,0
262,Ken Simonton,BUF,24,,2,0,2,4,0,2,2.0,2.0,0
263,Paul Smith,DET,25,,7,0,2,5,0,3,2.5,0.7,0
264,Javon Walker,GNB,25,wr,16,3,2,1,0,1,0.5,0.1,1
265,Ken Walter,NWE,31,P,15,0,2,0,0,0,0.0,0.0,0
266,Dez White,CHI,24,WR,15,11,2,13,0,12,6.5,0.9,0
267,John Avery,MIN,27,,6,0,1,0,0,0,0.0,0.0,1
268,Obafemi Ayanbadejo,MIA,28,fb,16,2,1,-2,0,-2,-2.0,-0.1,1
269,Charlie Batch,PIT,29,,4,0,1,11,0,11,11.0,2.8,1
270,Brant Boyer,CLE,32,lb,15,7,1,7,0,7,7.0,0.5,0
271,Deion Branch,NWE,24,WR,15,12,1,11,0,11,11.0,0.7,0
272,Antonio Brown,BUF,25,,16,0,1,17,0,17,17.0,1.1,1
273,Travis Brown,BUF,26,,2,0,1,5,0,5,5.0,2.5,0
274,Plaxico Burress,PIT,26,se/WR,16,16,1,-7,0,-7,-7.0,-0.4,1
275,Tyrone Calico,TEN,23,wr,14,2,1,5,0,5,5.0,0.4,0
276,John Carney,NOR,39,K,16,0,1,3,0,3,3.0,0.2,0
277,Jameel Cook,TAM,24,FB,14,8,1,-1,0,-1,-1.0,-0.1,0
278,Ronald Curry,OAK,24,wr,16,2,1,0,0,0,0.0,0.0,1
279,Phil Dawson,CLE,28,K,13,0,1,14,0,14,14.0,1.1,0
280,Eddie Drummond,DET,23,,6,0,1,1,0,1,1.0,0.2,1
281,Jeff Faine,CLE,22,C,9,9,1,0,0,0,0.0,0.0,3
282,Jeff Feagles,NYG,37,P,16,0,1,0,0,0,0.0,0.0,0
283,Robert Ferguson,GNB,24,WR,15,12,1,-8,0,-8,-8.0,-0.5,0
284,Jabar Gaffney,HOU,23,WR,16,11,1,13,0,13,13.0,0.8,0
285,Sam Gash,BUF,34,FB,16,10,1,3,0,3,3.0,0.2,1
286,Bryan Gilmore,ARI,25,WR,14,10,1,0,0,0,0.0,0.0,0
287,Marvin Harrison,IND,31,WR,15,15,1,3,0,3,3.0,0.2,2
288,Torry Holt,STL,27,WR,16,15,1,5,0,5,5.0,0.3,1
289,Damon Huard,NWE,30,,2,0,1,-1,0,-1,-1.0,-0.5,0
290,Jarious Jackson,DEN,26,qb,1,1,1,9,0,9,9.0,9.0,0
291,Shawn Jefferson,DET,34,wr,7,3,1,3,0,3,3.0,0.4,0
292,Bethel Johnson,NWE,24,wr,15,5,1,-12,0,-12,-12.0,-0.8,0
293,Kevin Kasper,ARI,26,,7,0,1,-4,0,-4,-4.0,-0.6,0
294,Bill LaFleur,SFO,27,P,16,0,1,0,0,0,0.0,0.0,1
295,George Layne,ATL,25,,3,0,1,15,0,15,15.0,5.0,0
296,Jermaine Lewis,JAX,29,,2,0,1,6,0,6,6.0,3.0,0
297,Michael Lewis,NOR,32,wr,13,1,1,2,0,2,2.0,0.2,2
298,Nick Luchey,GNB,26,fb,11,2,1,3,0,3,3.0,0.3,0
299,Adrian Madise,DEN,23,,11,0,1,10,0,10,10.0,0.9,1
300,Chris Massey,STL,24,,16,0,1,-1,0,-1,-1.0,-0.1,0
301,Brad Maynard,CHI,29,P,16,0,1,0,0,0,0.0,0.0,1
302,Fred McAfee,NOR,35,,14,0,1,13,0,13,13.0,0.9,1
303,Justin McCareins,TEN,25,WR,16,10,1,13,0,13,13.0,0.8,2
304,Sultan McCullough,WAS,23,,1,0,1,9,0,9,9.0,9.0,0
305,Brian Moorman,BUF,27,P,16,0,1,21,0,21,21.0,1.3,1
306,Ryan Neufeld,BUF,28,wr,16,1,1,14,0,14,14.0,0.9,0
307,Neil O'Donnell,TEN,37,qb,1,1,1,-1,0,-1,-1.0,-1.0,0
308,Deltha O'Neal,DEN,26,cb/rcb,13,6,1,0,0,0,0.0,0.0,2
309,David Patten,NWE,29,wr,6,5,1,4,0,4,4.0,0.7,0
310,Todd Pinkston,PHI,26,WR,16,15,1,-11,0,-11,-11.0,-0.7,1
311,Jerry Porter,OAK,25,wr,10,1,1,10,0,10,10.0,1.0,1
312,Jon Ritchie,PHI,29,fb,16,7,1,1,0,1,1.0,0.1,0
313,Sage Rosenfels,MIA,25,,2,0,1,-1,0,-1,-1.0,-0.5,0
314,Jason Simmons,HOU,27,db,16,2,1,7,0,7,7.0,0.4,0
315,Hunter Smith,IND,26,P,16,0,1,21,1,21,21.0,1.3,0
316,Jerald Sowell,NYJ,29,FB,16,16,1,2,0,2,2.0,0.1,0
317,Charles Stackhouse,MIN,23,fb,14,2,1,0,0,0,0.0,0.0,0
318,Donte' Stallworth,NOR,23,wr,11,3,1,3,0,3,3.0,0.3,3
319,Chad Stanley,HOU,27,P,16,0,1,12,0,12,12.0,0.8,0
320,David Terrell,CHI,24,wr,16,7,1,4,0,4,4.0,0.3,1
321,Amani Toomer,NYG,29,WR,16,16,1,5,0,5,5.0,0.3,0
322,David Tyree,NYG,23,wr,16,3,1,-9,0,-9,-9.0,-0.6,0
323,Troy Walters,IND,27,wr,15,4,1,6,0,6,6.0,0.4,0
324,Kurt Warner,STL,32,qb,2,1,1,0,0,0,0.0,0.0,6
325,Kelley Washington,CIN,24,wr,16,3,1,5,0,5,5.0,0.3,0
326,Jeff Wilkins,STL,31,K,16,0,1,7,0,7,7.0,0.4,0
327,Karl Williams,TAM,32,,13,0,1,2,0,2,2.0,0.2,0
328,Cedrick Wilson,SFO,25,wr,16,4,1,-4,0,-4,-4.0,-0.3,1
