Player;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991
Aaron Colvin;1.910.288;572.111;548.288;464.464;;;;;;;;;;;;;;;;;;;;;;;
Aaron Curry;;;;;;992.000;525.000;8.406.250;2.725.000;;;;;;;;;;;;;;;;;;
Aaron Dobson;;;935.010;779.175;623.340;;;;;;;;;;;;;;;;;;;;;;
Aaron Donald;3.225.250;2.764.500;2.303.750;1.843.000;;;;;;;;;;;;;;;;;;;;;;;
Aaron Green;;52.940;;;;;;;;;;;;;;;;;;;;;;;;;
Aaron Hernandez;;;;;;3.290.000;700.000;446.000;;;;;;;;;;;;;;;;;;;
Aaron Jones;515.484;;;;;;;;;;;;;;;;;;;;;;;;;;
Aaron Kampman;;;;;;;4.950.000;3.500.000;;;;;;;;;;;;;;;;;;;
Aaron Lynch;1.846.500;508.323;559.500;469.500;;;;;;;;;;;;;;;;;;;;;;;
Aaron Maybin;;;;;;1.015.000;525.000;2.212.500;1.850.000;;;;;;;;;;;;;;;;;;
Aaron Mellette;;;;;306.357;;;;;;;;;;;;;;;;;;;;;;
Aaron Merz;;;;;;;;;;;368.800;283.800;;;;;;;;;;;;;;;
Aaron Moorehead;;;;;;;;;;;620.000;721.600;383.333;308.333;228.333;;;;;;;;;;;;
Aaron Morgan;;;;333.000;149.647;465.000;273.667;320.667;;;;;;;;;;;;;;;;;;;
Aaron Murray;;;563.606;465.606;;;;;;;;;;;;;;;;;;;;;;;
Aaron Neary;27.353;;;;;;;;;;;;;;;;;;;;;;;;;;
Aaron Ripkowski;641.599;551.599;461.599;;;;;;;;;;;;;;;;;;;;;;;;
Aaron Rodgers;20.300.000;19.250.000;18.250.000;17.550.000;11.650.000;8.500.000;7.750.000;6.500.000;10.404.500;13.952.500;1.557.500;1.402.500;1.150.000;;;;;;;;;;;;;;
Aaron Ross;;;;570.000;620.000;1.533.333;2.322.000;1.904.000;1.661.000;1.418.000;3.070.000;;;;;;;;;;;;;;;;
Aaron Rouse;;;;;;;;;460.000;532.375;447.375;;;;;;;;;;;;;;;;
Aaron Schobel;;;;;;;;;8.025.000;8.025.000;8.775.000;4.525.000;2.525.000;1.955.000;1.546.250;726.875;607.500;;;;;;;;;;
Aaron Smith;;;;;;;6.100.000;6.600.000;3.950.000;4.750.000;3.100.000;4.866.667;5.116.667;4.566.667;2.296.667;1.366.667;;;;;;;;;;;
Aaron Stecker;;;;;;;;;460.000;1.300.000;1.437.500;1.187.500;862.500;722.500;610.600;375.000;302.800;197.800;;;;;;;;;
Aaron Wallace;405.865;472.041;;;;;;;;;;;;;;;;;;;;;;;;;
Aaron Williams;;6.100.000;3.900.000;4.231.029;1.434.134;1.195.081;901.896;;;;;;;;;;;;;;;;;;;;
Abdul Hodge;;;;;;;;;460.000;370.000;562.000;477.000;;;;;;;;;;;;;;;
Abraham Wright;;;;;;;;;;;171.449;;;;;;;;;;;;;;;;
Abram Elam;;;;;;850.000;2.500.000;1.759.000;1.400.000;;;;;;;;;;;;;;;;;;
Abry Jones;4.000.000;2.553.000;585.834;495.833;405.833;;;;;;;;;;;;;;;;;;;;;;
Ace  Sanders;;;;491.811;518.282;;;;;;;;;;;;;;;;;;;;;;
Adam Bergen;;;;;;;;;;;;201.500;236.500;;;;;;;;;;;;;;
Adam Bisnowaty;27.353;;;;;;;;;;;;;;;;;;;;;;;;;;
Adam Butler;466.666;;;;;;;;;;;;;;;;;;;;;;;;;;
Adam Carriker;;;;;2.800.000;1.531.250;1.420.000;1.070.000;2.100.000;1.750.000;1.400.000;;;;;;;;;;;;;;;;
Adam Gettis;493.000;;172.058;67.058;530.493;440.493;;;;;;;;;;;;;;;;;;;;;
Adam Goldberg;;;;;;;860.000;800.000;620.000;;;;;;;;;;;;;;;;;;
Adam Gotsis;894.978;715.982;;;;;;;;;;;;;;;;;;;;;;;;;
Adam Hayward;;;990.625;955.000;1.257.000;1.105.700;1.100.570;575.500;485.500;395.500;310.500;;;;;;;;;;;;;;;;
Adam Humphries;615.000;525.000;255.882;;;;;;;;;;;;;;;;;;;;;;;;
Adam Jennings;;;;;;;;;285.000;445.000;383.600;298.600;;;;;;;;;;;;;;;
Adam Kieft;;;;;;;;;;;801.668;596.666;551.666;;;;;;;;;;;;;;
Adam Koets;;;;;;;;738.812;483.812;393.812;308.812;;;;;;;;;;;;;;;;
Adam Mims;;;;;;;375.667;;;;;;;;;;;;;;;;;;;;
Adam Nissley;;;;;289.000;274.000;;;;;;;;;;;;;;;;;;;;;
Adam Pankey;437.647;;;;;;;;;;;;;;;;;;;;;;;;;;
Adam Podlesh;;;;;1.725.000;1.675.000;2.900.000;1.222.000;581.000;491.000;406.000;;;;;;;;;;;;;;;;
Adam Replogle;;;;;23.823;;;;;;;;;;;;;;;;;;;;;;
Adam Seward;;;;;;;;;460.000;927.000;477.513;392.513;272.513;;;;;;;;;;;;;;
Adam Shaheen;1.074.643;;;;;;;;;;;;;;;;;;;;;;;;;;
Adam Snyder;;;;570.000;1.143.000;2.000.000;3.100.000;2.750.000;2.500.000;2.000.000;586.833;501.833;381.833;;;;;;;;;;;;;;
Adam Terry;;;;;;;;511.875;862.500;762.500;677.500;592.500;470.000;;;;;;;;;;;;;;
Adam Thielen;3.746.000;600.000;510.000;420.000;;;;;;;;;;;;;;;;;;;;;;;
Adam Vinatieri;2.750.000;3.250.000;2.750.000;2.250.000;3.400.000;3.200.000;2.600.000;3.205.000;2.695.000;2.350.000;2.070.000;1.680.000;2.759.000;2.091.176;2.316.176;1.217.646;950.000;875.000;;238.000;;134.500;;;;;
Adam-Pacman Jones;7.390.195;7.604.166;2.550.000;2.800.000;1.600.000;950.000;640.000;295.000;545.000;1.742.500;1.807.502;4.150.002;2.200.002;;;;;;;;;;;;;;
Adarius Glanton;690.000;600.000;150.000;271.764;;;;;;;;;;;;;;;;;;;;;;;
