Player;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991
Curtis Marsh;;;;;261.176;635.880;510.880;;;;;;;;;;;;;;;;;;;;
Curtis Martin;;;;;;;;;;;;2.382.021;5.590.354;4.707.021;4.787.346;8.102.896;8.539.125;3.614.325;;2.299.000;;1.122.666;1.082.666;;;;
Curtis Painter;;;;;630.000;;547.750;417.750;332.750;;;;;;;;;;;;;;;;;;
Curtis Riley;540.000;397.050;322.000;;;;;;;;;;;;;;;;;;;;;;;;
Curtis Samuel;1.132.100;;;;;;;;;;;;;;;;;;;;;;;;;;
Curtis Taylor;;;;;97.491;;;409.970;324.970;;;;;;;;;;;;;;;;;;
Cyril Richardson;;;;468.000;;;;;;;;;;;;;;;;;;;;;;;
Cyrus Gray;;;;605.418;514.918;424.918;;;;;;;;;;;;;;;;;;;;;
Cyrus Jones;910.614;728.491;;;;;;;;;;;;;;;;;;;;;;;;;
Cyrus Kouandjio;324.705;1.311.497;1.092.914;874.331;;;;;;;;;;;;;;;;;;;;;;;
D.J. Alexander;615.000;575.563;476.563;;;;;;;;;;;;;;;;;;;;;;;;
D.J. Bryant;;;;;288.000;;;;;;;;;;;;;;;;;;;;;;
D.J. Campbell;;;;;;405.562;;;;;;;;;;;;;;;;;;;;;
D.J. Fluker;3.000.000;3.628.067;3.109.771;2.591.476;2.073.182;;;;;;;;;;;;;;;;;;;;;;
D.J. Foster;508.235;132.350;;;;;;;;;;;;;;;;;;;;;;;;;
D.J. Hayden;3.593.750;3.284.813;2.815.554;2.346.295;1.877.036;;;;;;;;;;;;;;;;;;;;;;
D.J. Humphries;2.430.576;2.025.480;1.620.384;;;;;;;;;;;;;;;;;;;;;;;;
D.J. Jones;501.963;;;;;;;;;;;;;;;;;;;;;;;;;;
D.J. Moore;;;;;;681.688;596.688;511.688;426.688;;;;;;;;;;;;;;;;;;
D.J. Pettway;;334.666;;;;;;;;;;;;;;;;;;;;;;;;;
D.J. Reader;593.845;503.845;;;;;;;;;;;;;;;;;;;;;;;;;
D.J. Shockley;;;;;;;;;;458.437;218.437;288.437;;;;;;;;;;;;;;;
D.J. Smith;;;;;;200.163;400.788;;;;;;;;;;;;;;;;;;;;
D.J. Swearinger;3.333.333;1.671.000;137.647;793.477;634.782;;;;;;;;;;;;;;;;;;;;;;
D.J. Tialavea;;52.940;25.588;;;;;;;;;;;;;;;;;;;;;;;;
D.J. Ware;;;;;;1.005.000;995.000;525.000;460.000;;;;;;;;;;;;;;;;;;
D.J. White;285.882;489.253;;;;;;;;;;;;;;;;;;;;;;;;;
D.J. Williams;;;;1.407.500;1.328.125;6.500.000;6.150.000;4.920.000;5.390.000;2.140.000;1.715.000;1.543.000;1.400.000;1.200.000;;;;;;;;;;;;;
Dadi Nicolas;504.803;480.803;;;;;;;;;;;;;;;;;;;;;;;;;
Daeshon Hall;590.960;;;;;;;;;;;;;;;;;;;;;;;;;;
Daimion Stafford;615.000;686.474;596.474;506.474;416.474;;;;;;;;;;;;;;;;;;;;;;
DaJohn Harris;;;;;;390.333;;;;;;;;;;;;;;;;;;;;;
DaJuan Morgan;;;;;;;;;566.667;476.667;;;;;;;;;;;;;;;;;
Dak Prescott;635.848;545.848;;;;;;;;;;;;;;;;;;;;;;;;;
Dakota Dozier;765.146;675.146;585.146;495.146;;;;;;;;;;;;;;;;;;;;;;;
Dallas Baker;;;;;;;;;27.059;202.812;;;;;;;;;;;;;;;;;
Dallas Clark;;;;;620.000;2.700.000;7.723.333;7.823.333;7.366.190;3.026.190;1.137.857;1.190.857;1.151.857;1.050.857;1.507.857;;;;;;;;;;;;
Dallas Reynolds;;;700.000;570.000;282.352;390.000;;;36.470;;;;;;;;;;;;;;;;;;
Dallas Thomas;;;761.594;671.594;556.594;;;;;;;;;;;;;;;;;;;;;;
Dalton Freeman;;;;420.000;;;;;;;;;;;;;;;;;;;;;;;
Dalvin Cook;1.065.680;;;;;;;;;;;;;;;;;;;;;;;;;;
Dalvin Tomlinson;831.291;;;;;;;;;;;;;;;;;;;;;;;;;;
Damarious Randall;2.158.836;1.799.030;1.439.224;;;;;;;;;;;;;;;;;;;;;;;;
Damaris Johnson;;;116.470;570.000;485.000;395.000;;;;;;;;;;;;;;;;;;;;;
Damian Copeland;;;319.666;304.666;;;;;;;;;;;;;;;;;;;;;;;
Damian Swann;;394.807;461.159;;;;;;;;;;;;;;;;;;;;;;;;
Damian Williams;;;;;835.812;745.812;655.812;525.812;;;;;;;;;;;;;;;;;;;
Damien Anderson;;;;;;;;;;;;;;310.000;155.000;551.000;;;;;;;;;;;
Damien Berry;;;;;;273.000;;;;;;;;;;;;;;;;;;;;;
Damien Mama;82.059;;;;;;;;;;;;;;;;;;;;;;;;;;
Damien Nash;;;;;;;;;;;;310.000;274.333;;;;;;;;;;;;;;
Damien Williams;1.797.000;601.668;511.666;421.666;;;;;;;;;;;;;;;;;;;;;;;
Damien Wilson;731.578;641.578;551.578;;;;;;;;;;;;;;;;;;;;;;;;
Damiere Byrd;456.705;26.470;;;;;;;;;;;;;;;;;;;;;;;;;
Damik Scafe;;;;303.000;;390.000;;;;;;;;;;;;;;;;;;;;;
Damion Square;1.387.500;566.176;309.705;232.941;407.500;;;;;;;;;;;;;;;;;;;;;;
Da'Mon Cromartie-Smith;;;;;;261.563;375.000;;;;;;;;;;;;;;;;;;;;
Damon Harrison;10.600.000;6.600.000;2.356.000;572.333;482.333;392.333;;;;;;;;;;;;;;;;;;;;;
Damond Powell;;;318.166;;;;;;;;;;;;;;;;;;;;;;;;
Damontae Kazee;537.230;;;;;;;;;;;;;;;;;;;;;;;;;;
Damontre Moore;;357.354;137.647;658.813;548.813;;;;;;;;;;;;;;;;;;;;;;
Dan Arnold;465.000;;;;;;;;;;;;;;;;;;;;;;;;;;
Dan Bailey;4.000.000;3.300.000;2.500.000;1.700.000;555.833;465.833;375.833;;;;;;;;;;;;;;;;;;;;
Dan Batten;;;;;;;430.417;345.417;;;;;;;;;;;;;;;;;;;
Dan Bazuin;;;;;;;;;;;897.000;;;;;;;;;;;;;;;;
Dan Buenning;;;;;;;;;;812.500;557.500;472.500;340.000;;;;;;;;;;;;;;
Dan Campbell;;;;;;;;;245.000;2.315.000;2.015.000;1.515.000;1.757.000;1.557.000;1.020.000;563.000;522.334;408.333;;;;;;;;;
Dan Carpenter;;2.587.500;2.362.500;1.812.500;555.000;2.862.500;1.342.500;782.500;388.750;298.750;;;;;;;;;;;;;;;;;
Dan Cody;;;;;;;;;;;738.333;663.333;570.000;;;;;;;;;;;;;;
Dan Connolly;;;;4.083.333;3.333.333;2.333.333;1.483.334;1.058.333;618.333;367.647;;198.333;233.333;;;;;;;;;;;;;;
Dan Connor;;;;;228.529;2.150.000;752.096;667.096;582.096;492.096;;;;;;;;;;;;;;;;;
Dan Feeney;696.158;;;;;;;;;;;;;;;;;;;;;;;;;;
Dan France;363.000;132.350;;;;;;;;;;;;;;;;;;;;;;;;;
Dan Giordano;;;;;407.750;;;;;;;;;;;;;;;;;;;;;;
Dan Gronkowski;;;;;;540.000;405.000;403.667;318.667;;;;;;;;;;;;;;;;;;
Dan Herron;;;232.941;570.000;338.823;73.125;;;;;;;;;;;;;;;;;;;;;
Dan Klecko;;;;;;;;;;645.000;450.000;500.000;460.000;385.000;305.000;;;;;;;;;;;;
Dan Koppen;;;;;1.015.000;825.000;3.500.000;5.000.000;4.000.000;3.000.000;2.500.000;5.029.000;439.000;364.000;254.000;;;;;;;;;;;;
Dan Kreider;;;;;;;;;460.000;445.000;1.160.000;1.150.000;985.000;745.000;605.000;375.000;298.000;113.529;;;;;;;;;
Dan LeFevour;;;;;;;465.000;320.000;;;;;;;;;;;;;;;;;;;
Dan Marino;;;;;;;;;;;;;;;;;;1.696.666;;7.624.999;;5.926.666;4.483.333;3.183.333;4.083.333;;2.516.666
Dan Orlovsky;;680.000;665.000;635.000;620.000;1.000.000;525.000;2.050.000;2.550.000;927.000;478.800;393.800;273.800;;;;;;;;;;;;;;
Dan Santucci;;;;;;;;;;215.000;285.000;;;;;;;;;;;;;;;;
Dan Skuta;;3.600.000;4.600.000;1.650.000;1.350.000;1.260.000;;398.750;313.750;;;;;;;;;;;;;;;;;;
Dan Vitale;540.000;317.640;;;;;;;;;;;;;;;;;;;;;;;;;
Dan Williams;;7.500.000;8.000.000;2.185.000;2.105.000;1.840.000;1.595.000;1.260.000;;;;;;;;;;;;;;;;;;;
Danario Alexander;;;;;1.323.000;303.750;458.888;328.888;;;;;;;;;;;;;;;;;;;
D'Andre Goodwin;;;;;;;375.000;;;;;;;;;;;;;;;;;;;;
Dane Fletcher;;;581.353;1.200.000;620.000;543.334;453.333;238.333;;;;;;;;;;;;;;;;;;;
Dane Sanzenbacher;;;;1.200.000;555.000;465.000;375.000;;;;;;;;;;;;;;;;;;;;
Danieal Manning;;;;570.000;5.500.000;5.000.000;3.500.000;1.176.000;880.000;790.000;705.000;605.000;;;;;;;;;;;;;;;
Daniel Adongo;;;;318.000;95.294;;;;;;;;;;;;;;;;;;;;;;
Daniel Baldridge;;;;;;465.000;;325.000;;;;;;;;;;;;;;;;;;;
Daniel Braverman;;132.350;;;;;;;;;;;;;;;;;;;;;;;;;
Daniel Brown;615.000;308.820;153.529;;;;;;;;;;;;;;;;;;;;;;;;
Daniel Bullocks;;;;;;;;;1.063.750;936.250;851.250;851.250;;;;;;;;;;;;;;;
Daniel Fells;;;665.000;570.000;;1.333.333;;;460.000;310.000;;275.500;;;;;;;;;;;;;;;
Daniel Graham;;;;;;469.688;2.416.667;7.750.000;6.650.000;4.150.000;2.800.000;1.563.750;1.428.750;1.378.750;1.328.750;585.000;;;;;;;;;;;
Daniel Hardy;;;;;;;375.000;;;;;;;;;;;;;;;;;;;;
Daniel Kilgore;1.700.000;1.350.000;1.875.000;1.022.575;595.075;505.075;415.075;;;;;;;;;;;;;;;;;;;;
Daniel Lasco;349.411;468.869;;;;;;;;;;;;;;;;;;;;;;;;;
Daniel Loper;;;;;;;2.050.000;1.226.000;1.000.000;927.000;477.166;392.166;272.166;;;;;;;;;;;;;;
Daniel McCullers;709.670;619.670;529.670;439.670;;;;;;;;;;;;;;;;;;;;;;;
Daniel Muir;;;;;391.765;381.176;1.850.000;1.684.000;460.000;370.000;285.000;;;;;;;;;;;;;;;;
Daniel Munyer;409.937;;;;;;;;;;;;;;;;;;;;;;;;;;
Daniel Ross;218.824;;;;;;;;;;;;;;;;;;;;;;;;;;
Daniel Sanders;;;;;;;;225.000;;;;;;;;;;;;;;;;;;;
Daniel Sepulveda;;;;;;;375.000;1.101.000;575.000;485.000;400.000;;;;;;;;;;;;;;;;
Daniel Sorensen;1.700.000;600.000;510.000;222.352;;;;;;;;;;;;;;;;;;;;;;;
Daniel Te'o-Nesheim;;;;;1.323.000;415.000;;505.314;;;;;;;;;;;;;;;;;;;
Daniel Thomas;;;;569.118;882.652;781.435;588.435;;;;;;;;;;;;;;;;;;;;
Daniel Wilcox;;;;;;;;;;1.093.334;913.333;733.333;380.000;305.000;;;;;;;;;;;;;
Danielle Hunter;792.805;692.805;591.805;;;;;;;;;;;;;;;;;;;;;;;;
Dannell Ellerbe;370.588;3.200.000;1.900.000;7.425.000;2.425.000;1.927.000;525.000;395.000;312.000;;;;;;;;;;;;;;;;;;
Danny Aiken;;;137.647;645.000;555.000;465.000;375.000;;;;;;;;;;;;;;;;;;;;
Danny Amendola;3.041.668;2.885.416;3.116.666;4.700.000;3.575.000;1.972.000;525.000;395.000;273.529;;;;;;;;;;;;;;;;;;
Danny Gorrer;;;;226.412;630.000;540.000;423.529;;;;;;;;;;;;;;;;;;;;
Danny Isidora;515.484;;;;;;;;;;;;;;;;;;;;;;;;;;
Danny Lansanah;;;660.000;570.000;112.941;;;;;381.083;;;;;;;;;;;;;;;;;
Danny Mason;;333.000;;;;;;;;;;;;;;;;;;;;;;;;;
Danny McCray;;;665.000;630.938;730.000;541.668;451.666;321.666;;;;;;;;;;;;;;;;;;;
Danny Noble;;;;;225.882;390.000;;;;;;;;;;;;;;;;;;;;;
Danny Shelton;3.191.909;2.659.924;2.127.939;;;;;;;;;;;;;;;;;;;;;;;;
Danny Trevathan;6.732.352;6.350.000;1.568.018;596.018;506.018;416.018;;;;;;;;;;;;;;;;;;;;;
Danny Watkins;;;;;555.000;1.803.625;1.442.900;;;;;;;;;;;;;;;;;;;;
Danny Woodhead;1.750.000;3.000.000;2.500.000;2.250.000;1.250.000;891.668;916.666;371.764;271.764;200.666;;;;;;;;;;;;;;;;;
Danny Wuerffel;;;;;;;;;;;;;;;;550.000;448.000;385.000;;262.166;;;;;;;
Da'Norris Searcy;4.462.500;6.125.000;3.625.000;1.552.106;676.106;586.106;496.106;;;;;;;;;;;;;;;;;;;;
Dante Fowler Jr.;6.406.433;5.338.694;4.270.955;;;;;;;;;;;;;;;;;;;;;;;;
Dante Hughes;;;;;;;850.000;512.941;460.000;522.500;437.500;;;;;;;;;;;;;;;;
Dante Rosario;;;;570.000;620.000;540.000;525.000;1.143.750;502.750;412.750;327.750;;;;;;;;;;;;;;;;
Dante Wesley;;;;;;;;;1.000.000;1.000.000;;;;;;;;;;;;;;;;;
D'Anthony Batiste;;;;;;540.000;525.000;259.411;440.588;78.529;360.000;177.941;;;;;;;;;;;;;;;
D'Anthony Smith;;;60.000;570.000;;702.500;617.500;437.500;;;;;;;;;;;;;;;;;;;
Dantrell Savage;;;;;;;;;395.000;;;;;;;;;;;;;;;;;;
Da'Quan Bowers;;;131.470;1.120.820;1.051.537;876.281;701.025;;;;;;;;;;;;;;;;;;;;
DaQuan Jones;1.910.850;713.850;623.850;533.850;;;;;;;;;;;;;;;;;;;;;;;
Darcel McBath;;;;;;540.000;525.000;781.000;696.000;;;;;;;;;;;;;;;;;;
Dare Ogunbowale;54.706;;;;;;;;;;;;;;;;;;;;;;;;;;
Da'Rel Scott;;;;;238.412;478.988;388.988;;;;;;;;;;;;;;;;;;;;
Darell Scott;;;;;;;654.929;524.929;439.929;;;;;;;;;;;;;;;;;;
Daren Bates;1.416.666;850.000;585.000;495.000;405.000;;;;;;;;;;;;;;;;;;;;;;
Daren Stone;;;;;;;;;;174.117;306.350;;;;;;;;;;;;;;;;
Darian Stewart;7.400.000;4.650.000;1.750.000;1.300.000;1.000.000;540.000;456.250;326.250;;;;;;;;;;;;;;;;;;;
Darian Thompson;819.284;659.284;;;;;;;;;;;;;;;;;;;;;;;;;
Da'Rick Rogers;;;;;166.764;;;;;;;;;;;;;;;;;;;;;;
Darius Butler;2.875.000;3.000.000;2.500.000;3.000.000;1.500.000;795.000;607.500;1.087.500;750.000;;;;;;;;;;;;;;;;;;
Darius Eubanks;;;25.588;318.000;238.235;;;;;;;;;;;;;;;;;;;;;;
Darius Fleming;;;206.470;116.471;344.200;431.200;;;;;;;;;;;;;;;;;;;;;
Darius Hanks;;;;;;390.000;;;;;;;;;;;;;;;;;;;;;
Darius Jackson;363.000;79.410;;;;;;;;;;;;;;;;;;;;;;;;;
Darius Jennings;;;51.176;;;;;;;;;;;;;;;;;;;;;;;;
Darius Johnson;;;;;262.058;;;;;;;;;;;;;;;;;;;;;;
Darius Kilgo;;;462.889;;;;;;;;;;;;;;;;;;;;;;;;
Darius Latham;95.294;452.500;;;;;;;;;;;;;;;;;;;;;;;;;
Darius Philon;645.146;555.146;465.146;;;;;;;;;;;;;;;;;;;;;;;;
Darius Powe;127.058;;;;;;;;;;;;;;;;;;;;;;;;;;
Darius Reynaud;;;;;168.235;615.000;585.500;470.000;385.000;295.000;;;;;;;;;;;;;;;;;
Darius Slay;10.681.250;4.606.691;1.442.537;1.202.114;961.691;;;;;;;;;;;;;;;;;;;;;;
Darnell Bing;;;;;;;;255.000;;;;392.750;;;;;;;;;;;;;;;
Darnell Dockett;;;;8.750.000;7.700.000;6.650.000;5.600.000;4.550.000;3.500.000;3.250.000;4.010.000;4.115.000;495.000;420.000;;;;;;;;;;;;;
Darqueze Dennard;2.538.740;2.176.063;1.813.386;1.450.708;;;;;;;;;;;;;;;;;;;;;;;
Darrel Young;;;1.533.334;1.367.708;983.333;540.000;450.000;320.000;;;;;;;;;;;;;;;;;;;
Darrell Daniels;468.333;;;;;;;;;;;;;;;;;;;;;;;;;;
Darrell McClover;;;;;;;;;460.000;545.000;470.000;350.000;318.042;243.042;;;;;;;;;;;;;
Darrell Shropshire;;;;;;;;;;;;321.000;241.000;;;;;;;;;;;;;;
Darrell Stuckey;;1.668.750;1.433.750;1.163.750;756.500;666.500;576.500;446.500;;;;;;;;;;;;;;;;;;;
Darrell Thompson;;;;;;;;;;;;;;;;;;;;;;;;300.000;600.000;;608.333
Darrell Williams;246.177;350.500;389.323;;;;;;;;;;;;;;;;;;;;;;;;
Darrelle Revis;352.941;17.000.000;16.000.000;7.000.000;16.000.000;11.765.916;11.265.916;9.303.916;7.525.916;3.935.916;1.401.916;;;;;;;;;;;;;;;;
Darren Evans;;;;;;465.000;;;;;;;;;;;;;;;;;;;;;
Darren Fells;975.000;600.000;510.000;420.000;;;;;;;;;;;;;;;;;;;;;;;
Darren Keyton;;;318.000;;;;;;;;;;;;;;;;;;;;;;;;
Darren McFadden;;2.150.000;1.150.000;1.718.000;9.685.084;9.478.833;10.873.833;4.743.000;4.658.000;2.625.000;;;;;;;;;;;;;;;;;
Darren Sharper;;;;;;;;2.250.000;1.700.000;4.750.000;4.650.000;2.250.000;4.250.000;4.783.332;2.016.666;1.116.666;616.666;537.000;;425.000;;;;;;;
Darren Sproles;4.000.000;5.100.000;4.100.000;2.000.000;3.750.000;4.250.000;1.750.000;7.281.300;6.621.000;1.198.000;483.000;293.000;328.000;;;;;;;;;;;;;;
Darren Waller;641.183;427.654;392.359;;;;;;;;;;;;;;;;;;;;;;;;
Darren Woodson;;;;;;;;;;;;;;3.550.000;2.800.000;2.550.000;3.452.048;2.999.048;;2.867.000;;1.400.000;668.500;568.500;458.000;;
Darrent Williams;;;;;;;;;;;;629.500;549.500;;;;;;;;;;;;;;
Darrian Miller;;;102.352;;;;;;;;;;;;;;;;;;;;;;;;
Darrin Walls;;;1.075.000;1.000.000;555.000;209.718;377.833;;;;;;;;;;;;;;;;;;;;
Darrion Scott;;;;;;;685.000;630.000;;;850.000;535.000;455.000;380.000;;;;;;;;;;;;;
Darrion Weems;;;;570.000;480.000;73.125;;;;;;;;;;;;;;;;;;;;;
Darrius Heyward-Bey;1.333.333;1.133.333;665.000;635.000;2.500.000;8.159.000;11.415.000;3.025.000;2.420.000;;;;;;;;;;;;;;;;;;
Darron Lee;2.323.101;1.858.481;;;;;;;;;;;;;;;;;;;;;;;;;
Darryl Blackstock;;;;;;368.000;525.000;;;520.000;581.333;496.333;376.333;;;;;;;;;;;;;;
Darryl Gamble;;;;;;;375.000;;;;;;;;;;;;;;;;;;;;
Darryl Morris;227.941;238.236;585.000;495.000;333.529;;;;;;;;;;;;;;;;;;;;;;
Darryl Roberts;615.000;450.000;331.555;;;;;;;;;;;;;;;;;;;;;;;;
Darryl Sharpton;;;;542.588;763.735;673.735;583.735;453.735;;;;;;;;;;;;;;;;;;;
Darryl Tapp;;600.000;665.000;870.000;580.000;3.575.000;3.250.000;2.176.000;815.000;725.000;640.000;525.000;;;;;;;;;;;;;;;
Darvin Adams;;;;;;;375.000;;;;;;;;;;;;;;;;;;;;
Daryl Richardson;;35.294;;;491.474;401.474;;;;;;;;;;;;;;;;;;;;;
Daryl Smith;;3.000.000;3.875.000;2.475.000;1.125.000;5.500.000;5.000.000;3.950.000;2.257.000;3.697.000;7.072.000;737.000;617.000;542.000;;;;;;;;;;;;;
Daryl Washington;;3.100.000;3.100.000;3.056.765;2.854.044;3.518.750;1.373.750;738.750;;;;;;;;;;;;;;;;;;;
Daryl Williams;754.280;664.280;574.280;;;;;;;;;;;;;;;;;;;;;;;;
Daryl Worley;775.921;645.921;;;;;;;;;;;;;;;;;;;;;;;;;
Daryn Colledge;;;;2.000.000;7.275.000;3.175.000;2.500.000;1.759.000;860.000;770.000;685.000;990.000;;;;;;;;;;;;;;;
Dashaun Phillips;;61.764;153.529;;;;;;;;;;;;;;;;;;;;;;;;
Dashon Goldson;;104.117;4.000.000;9.000.000;8.735.295;6.212.000;2.000.000;653.219;563.219;473.219;388.219;;;;;;;;;;;;;;;;
Datone Jones;180.882;2.455.280;2.039.436;1.753.770;1.403.016;;;;;;;;;;;;;;;;;;;;;;
D'Aundre Reed;;;;;;484.454;387.563;;;;;;;;;;;;;;;;;;;;
Daunte Culpepper;;;;;;;;;5.000.000;730.000;3.200.000;2.400.000;9.142.857;1.182.857;1.577.857;1.972.500;1.405.000;1.337.500;;;;;;;;;
Davante Adams;4.857.127;1.072.746;893.955;715.164;;;;;;;;;;;;;;;;;;;;;;;
Dave Ball;;;;;;1.025.000;1.300.000;1.809.000;620.000;520.000;;;;;;;;;;;;;;;;;
Dave Brown;;;;;;;;;;;;;;;;;;850.000;;1.000.000;;2.250.000;1.450.000;1.250.000;1.100.000;;
Dave Rayner;;;;;;;;;;;435.000;350.000;251.320;;;;;;;;;;;;;;
Dave Tollefson;;;;;;825.000;525.000;1.684.000;460.000;370.000;;;;;;;;;;;;;;;;;
Dave Zastudil;;;;1.252.500;1.575.000;900.000;525.000;;1.870.000;1.670.000;1.520.000;1.055.000;656.000;481.667;401.666;326.666;;;;;;;;;;;
Daven Holly;;;;;;;;;;1.417.000;435.000;350.000;230.000;;;;;;;;;;;;;;
David Akers;;;;;620.000;3.616.667;1.916.667;1.900.000;1.900.000;1.635.000;1.300.000;2.425.000;2.922.941;1.075.000;925.000;713.200;1.014.000;;;;;;;;;;
David Amerson;8.500.000;4.050.000;622.131;875.205;700.164;;;;;;;;;;;;;;;;;;;;;;
David Anderson;;;;;;;525.000;1.503.333;1.233.333;445.000;360.000;275.000;;;;;;;;;;;;;;;
David Andrews;1.320.000;530.000;440.000;;;;;;;;;;;;;;;;;;;;;;;;
David Arkin;;119.117;;;261.176;598.400;488.400;;;;;;;;;;;;;;;;;;;;
David Ausberry;;;;656.475;566.475;476.475;386.475;;;;;;;;;;;;;;;;;;;;
David Baas;;;;;4.725.000;3.375.000;2.700.000;1.226.000;1.266.875;1.158.125;1.049.375;950.000;835.000;;;;;;;;;;;;;;
David Bakhtiari;6.171.000;4.870.967;698.850;608.850;518.850;;;;;;;;;;;;;;;;;;;;;;
David Barrett;;;;;;;;;;3.042.000;4.442.000;3.897.000;2.382.000;1.285.000;1.318.000;471.334;394.333;289.333;;;;;;;;;
David Bass;542.647;675.000;585.000;232.941;405.000;;;;;;;;;;;;;;;;;;;;;;
David Boston;;;;;;;;;;;;;394.117;1.846.500;1.200.000;1.968.500;;1.677.500;;;;;;;;;
David Bruton;;;1.650.000;1.650.000;1.200.000;735.600;600.600;515.600;430.600;;;;;;;;;;;;;;;;;;
David Buehler;;;;;;;517.125;427.125;347.125;;;;;;;;;;;;;;;;;;
David Caldwell;;;;;;;405.000;320.000;;;;;;;;;;;;;;;;;;;
David Carr;;;;;;540.000;525.000;3.875.000;2.010.000;1.000.000;2.600.000;7.323.333;7.573.333;2.733.333;2.623.333;2.600.000;;;;;;;;;;;
David Carter;;;;;;490.966;400.966;;;;;;;;;;;;;;;;;;;;
David Clowney;;;;;;;;;460.000;1.870.000;285.000;;;;;;;;;;;;;;;;
David Cobb;;;496.417;;;;;;;;;;;;;;;;;;;;;;;;
David DeCastro;11.050.000;5.270.000;2.486.240;2.131.063;1.775.886;1.420.709;;;;;;;;;;;;;;;;;;;;;
David Diehl;;;;;3.125.000;3.675.000;4.850.000;4.787.500;3.700.000;1.800.000;2.010.000;1.585.000;1.718.500;341.167;261.167;;;;;;;;;;;;
David Douglas;;;;;;97.500;;;;;;;;;;;;;;;;;;;;;
David Fales;405.880;211.764;180.000;74.117;;;;;;;;;;;;;;;;;;;;;;;
David Fluellen;540.000;;;;;;;;;;;;;;;;;;;;;;;;;;
David Foucault;;;;420.000;;;;;;;;;;;;;;;;;;;;;;;
David Garrard;;;;;1.100.000;;;8.000.000;8.500.000;9.500.000;1.600.000;1.500.000;1.061.000;486.000;406.000;331.000;;;;;;;;;;;
David Gettis;;;;;23.512;513.512;428.512;343.512;;;;;;;;;;;;;;;;;;;
David Gilreath;;;;318.000;;390.000;;;;;;;;;;;;;;;;;;;;;
David Greene;;;;;;;;;;;;508.750;388.750;;;;;;;;;;;;;;
David Hale;;;;;;;;568.166;483.166;393.166;;;;;;;;;;;;;;;;;
David Harris;2.843.750;7.500.000;7.500.000;7.000.000;13.000.000;12.000.000;4.000.000;1.250.000;810.000;1.115.000;635.000;;;;;;;;;;;;;;;;
David Hawthorne;;;4.010.000;3.510.000;2.510.000;1.460.000;1.125.000;1.275.000;386.500;296.500;;;;;;;;;;;;;;;;;
David Holloway;;;;;;;;;;;16.764;;;;;;;;;;;;;;;;
David Hunter;;;;;;390.000;;;;;;;;;;;;;;;;;;;;;
David Irons;;;;;;;;;;393.486;308.486;;;;;;;;;;;;;;;;
David Irving;470.294;525.000;358.235;;;;;;;;;;;;;;;;;;;;;;;;
David Johnson;799.843;708.843;594.843;840.000;665.000;630.000;536.066;406.066;321.066;;;;;;;;;;;;;;;;;;
David Jones;;;;;;540.000;745.000;1.101.000;460.000;370.000;285.000;;;;;;;;;;;;;;;;
David King;690.000;;210.000;74.118;;;;;;;;;;;;;;;;;;;;;;;
David Kirtman;;;;;;;;;;;360.000;275.000;;;;;;;;;;;;;;;
David Martin;;;;;;;;810.000;;;;710.000;665.000;628.000;404.834;315.833;224.833;;;;;;;;;;
David Mayo;656.563;566.563;476.563;;;;;;;;;;;;;;;;;;;;;;;;
David McMillan;;;;;;;;;;;482.000;397.000;277.000;;;;;;;;;;;;;;
David Molk;;;361.941;495.000;;403.988;;;;;;;;;;;;;;;;;;;;;
David Moore;164.118;;;;;;;;;;;;;;;;;;;;;;;;;;
David Morgan;573.864;483.864;;;;;;;;;;;;;;;;;;;;;;;;;
David Nelson;;;585.000;;424.412;494.000;409.000;324.000;;;;;;;;;;;;;;;;;;;
David Njoku;1.731.835;;;;;;;;;;;;;;;;;;;;;;;;;;
David Onyemata;675.586;585.586;;;;;;;;;;;;;;;;;;;;;;;;;
David Parry;347.471;580.002;490.002;;;;;;;;;;;;;;;;;;;;;;;;
David Paulson;;;;;491.474;401.474;;;;;;;;;;;;;;;;;;;;;
David Pittman;;;;;;;;;;445.000;523.333;438.333;;;;;;;;;;;;;;;
David Pollack;;;;;;;;;;;1.850.000;1.665.000;1.850.000;;;;;;;;;;;;;;
David Quessenberry;54.706;28.363;613.363;448.363;323.246;;;;;;;;;;;;;;;;;;;;;;
David Reed;;;;;;584.633;468.162;364.633;;;;;;;;;;;;;;;;;;;
David Rivers III;54.706;;;;;;;;;;;;;;;;;;;;;;;;;;
David Sharpe;611.603;;;;;;;;;;;;;;;;;;;;;;;;;;
David Sims;;;;;;390.000;;;;;;;;;;;;;;;;;;;;;
David Snow;;;;;112.941;390.000;;;;;;;;;;;;;;;;;;;;;
David Stewart;;;;;7.000.000;6.000.000;5.500.000;5.000.000;5.000.000;4.000.000;548.000;463.000;343.000;;;;;;;;;;;;;;
David Talley;348.000;;;;;;;;;;;;;;;;;;;;;;;;;;
David Thomas;;;;;;1.800.000;1.500.000;;551.018;461.018;376.018;291.018;;;;;;;;;;;;;;;
David Tyree;;;;;;;;1.600.000;620.000;1.225.000;1.175.000;800.000;380.000;305.000;225.000;;;;;;;;;;;;
David Vobora;;;;;;;;;;310.000;;;;;;;;;;;;;;;;;
David Wilson;;;;1.823.046;1.519.205;1.215.364;;;;;;;;;;;;;;;;;;;;;
