Player;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
Cleo Lemon; ; ; ; ; ; ; ; ;2045000;3805000;1300000;425000;305000; ; ; ; ; 
Cody Kessler;770246;616197; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Cody Pickett; ; ; ; ; ; ; ; ; ; ; ;385000;317500;242500; ; ; ; 
Colin Kaepernick; ;16765753;15265753;3767444;1397535;1164613;931691; ; ; ; ; ; ; ; ; ; ; 
Colt Brennan; ; ; ; ; ; ; ; ;409200;319200; ; ; ; ; ; ; ; 
Colt McCoy;3600000;1800000;1375000;635000;630000;727750;637750;577750; ; ; ; ; ; ; ; ; ; 
Connor Cook;694972;604972; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Connor Shaw; ;333000;318000;24705; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Cooper Rush;466666; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Craig Krenzel; ; ; ; ; ; ; ; ; ; ; ; ;305000;268500; ; ; ; 
Curtis Painter; ; ; ; ;630000; ;547750;417750;332750; ; ; ; ; ; ; ; ; 
D.J. Shockley; ; ; ; ; ; ; ; ; ;458437;218437;288437; ; ; ; ; ; 
Dak Prescott;635848;545848; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dan LeFevour; ; ; ; ; ; ;465000;320000; ; ; ; ; ; ; ; ; ; 
Dan Marino; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1696666
Dan Orlovsky; ;680000;665000;635000;620000;1000000;525000;2050000;2550000;927000;478800;393800;273800; ; ; ; ; 
Danny Wuerffel; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;550000;448000;385000
Daunte Culpepper; ; ; ; ; ; ; ; ;5000000;730000;3200000;2400000;9142857;1182857;1577857;1972500;1405000;1337500
Dave Brown; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;850000
David Carr; ; ; ; ; ;540000;525000;3875000;2010000;1000000;2600000;7323333;7573333;2733333;2623333;2600000; ; 
David Fales;405880;211764;180000;74117; ; ; ; ; ; ; ; ; ; ; ; ; ; 
David Garrard; ; ; ; ;1100000; ; ;8000000;8500000;9500000;1600000;1500000;1061000;486000;406000;331000; ; 
David Greene; ; ; ; ; ; ; ; ; ; ; ;508750;388750; ; ; ; ; 
Davis Webb;656605; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dennis Dixon; ; ; ; ; ; ;1200000;513333;428333;338333; ; ; ; ; ; ; ; 
Derek Anderson;2243750;1950000;1764000;1100000;555000;555000;5387500;2097500;8833333;3333333;435000;350000;201250; ; ; ; ; 
Derek Carr;15731691;1465037;1220864;976691; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Deshaun Watson;2457014; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
DeShone Kizer;899712; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Donovan McNabb; ; ; ; ; ; ;5050000;16387500;13404166;9395237;8595237;8595237;8709522;8709522;7542856;5431091;2003285;1889285
Doug Flutie; ; ; ; ; ; ; ; ; ; ; ; ;790000;1985000;2260000;3760000;4706667;2793333
Drew Bledsoe; ; ; ; ; ; ; ; ; ; ; ;4666666;2666666;4416666;5500000;5000000;4733333;8637857
Drew Brees;19000000;17250000;23800000;18400000;17400000;10400000;12574700;12349400;10347900;9000000;7000000;6000000;8078000;1867500;1287500;707500;627500; 
Drew Stanton;4050000;2500000;3866668;2666666;1666667;1225000;650000;1052000;940000;785000;1141900; ; ; ; ; ; ; 
Dylan Thompson; ; ;179117; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
E.J. Manuel;640000;2827141;2423264;2019386;1615509; ; ; ; ; ; ; ; ; ; ; ; ; 
Eli Manning;19700000;24200000;14450000;20400000;20850000;9600000;14100000;12100000;15366668;15216666;11716666;11321000;2605000;2244000; ; ; ; 
Erik Ainge; ; ; ; ; ; ; ;508824;423824;333824; ; ; ; ; ; ; ; 
Garrett Gilbert;300883; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Garrett Grayson; ; ;618291; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Geno Smith;1087500;1597146;1368983;1140819;912655; ; ; ; ; ; ; ; ; ; ; ; ; 
Gibran Hamdan; ; ; ; ; ; ; ; ;620000;435000; ; ; ; ; ; ; ; 
Graham Harrell; ; ; ; ; ;540000;450000; ; ; ; ; ; ; ; ; ; ; 
