Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
97,Kevin Johnson,BAL,28,wr,16,5,61,35,57.4%,373,10.7,1,35,2.2,23.3,1
98,Bubba Franks,GNB,26,TE,16,14,50,34,68.0%,361,10.6,7,29,2.1,22.6,0
99,William Henderson,GNB,33,fb/rb,16,8,40,34,85.0%,239,7.0,3,38,2.1,14.9,0
100,Kris Mangum,CAR,31,rb/TE,15,10,58,34,58.6%,323,9.5,3,26,2.3,21.5,0
101,Deuce McAllister,NOR,26,RB,14,14,48,34,70.8%,228,6.7,0,20,2.4,16.3,5
102,Jerome Pathon,NOR,29,wr,15,7,67,34,50.7%,581,17.1,1,38,2.3,38.7,1
103,Ricky Proehl,CAR,36,wr,16,3,70,34,48.6%,497,14.6,0,34,2.1,31.1,0
104,L.J. Smith,PHI,24,te/wr,16,8,54,34,63.0%,377,11.1,5,31,2.1,23.6,0
105,Travis Taylor,BAL,25,WR,10,9,80,34,42.5%,421,12.4,0,47,3.4,42.1,1
106,Doug Gabriel,OAK,24,wr,16,5,79,33,41.8%,551,16.7,2,58,2.1,34.4,2
107,Joey Galloway,TAM,33,wr,10,7,53,33,62.3%,416,12.6,5,36,3.3,41.6,3
108,Ben Troupe,TEN,22,te,14,7,54,33,61.1%,329,10.0,1,33,2.4,23.5,2
109,Boo Williams,NOR,25,TE,16,7,75,33,44.0%,362,11.0,2,22,2.1,22.6,2
110,Kevin Curtis,STL,26,,15,0,50,32,64.0%,421,13.2,2,41,2.1,28.1,1
111,Reuben Droughns,DEN,26,fb/RB,16,15,44,32,72.7%,241,7.5,2,23,2.0,15.1,5
112,J.R. Redmond,OAK,27,rb,16,1,50,32,64.0%,233,7.3,0,22,2.0,14.6,2
113,Wayne Chrebet,NYJ,31,fl,16,1,54,31,57.4%,397,12.8,1,35,1.9,24.8,0
114,Az-Zahir Hakim,DET,27,wr,12,5,57,31,54.4%,533,17.2,3,39,2.6,44.4,0
115,Keenan McCardell,SDG,34,wr,7,6,58,31,53.4%,393,12.7,1,31,4.4,56.1,0
116,Quincy Morgan,2TM,27,,15,12,68,31,45.6%,404,13.0,3,53,2.1,26.9,1
117,Koren Robinson,SEA,24,WR,10,8,67,31,46.3%,495,16.0,2,33,3.1,49.5,0
118,Jerramy Stevens,SEA,25,te,16,5,47,31,66.0%,349,11.3,3,32,1.9,21.8,0
119,Kelley Washington,CIN,25,wr,16,2,50,31,62.0%,378,12.2,3,28,1.9,23.6,0
120,Darius Watts,DEN,23,wr,16,2,53,31,58.5%,385,12.4,1,28,1.9,24.1,1
121,Daniel Graham,NWE,26,TE,14,14,48,30,62.5%,364,12.1,7,48,2.1,26.0,0
122,Jerry Rice,2TM,42,,17,14,64,30,46.9%,429,14.3,3,56,1.8,25.2,0
123,Chester Taylor,BAL,25,rb,16,4,38,30,78.9%,184,6.1,0,23,1.9,11.5,1
124,Dez White,ATL,25,WR,16,15,56,30,53.6%,370,12.3,2,54,1.9,23.1,0
125,Mike Alstott,TAM,31,FB,14,11,41,29,70.7%,202,7.0,0,20,2.1,14.4,2
126,Derick Armstrong,HOU,25,wr,14,1,39,29,74.4%,415,14.3,1,44,2.1,29.6,0
127,Warrick Dunn,ATL,29,RB,16,16,39,29,74.4%,294,10.1,0,59,1.8,18.4,3
128,Chad Lewis,PHI,33,TE,15,9,46,29,63.0%,267,9.2,3,21,1.9,17.8,0
129,Marcus Pollard,IND,32,TE,13,13,41,29,70.7%,309,10.7,6,31,2.2,23.8,0
130,Aaron Stecker,NOR,29,rb,16,3,38,29,76.3%,174,6.0,0,26,1.8,10.9,1
131,Steve Heiden,CLE,28,TE,13,13,42,28,66.7%,287,10.3,5,30,2.2,22.1,1
132,Kevin Jones,DET,22,RB,15,14,41,28,68.3%,180,6.4,1,34,1.9,12.0,2
133,Patrick Pass,NWE,27,fb,14,4,32,28,87.5%,215,7.7,0,22,2.0,15.4,1
134,Tai Streets,DET,27,WR,13,12,56,28,50.0%,260,9.3,1,22,2.2,20.0,0
135,LaBrandon Toefield,JAX,24,,14,0,34,28,82.4%,151,5.4,1,16,2.0,10.8,1
136,Corey Bradford,HOU,29,WR,15,10,54,27,50.0%,399,14.8,3,47,1.8,26.6,0
137,Todd Heap,BAL,24,te,6,5,44,27,61.4%,303,11.2,3,37,4.5,50.5,0
138,Doug Jolley,OAK,25,TE,16,13,48,27,56.3%,313,11.6,2,34,1.7,19.6,0
139,Joe Jurevicius,TAM,30,wr,10,3,37,27,73.0%,333,12.3,2,42,2.7,33.3,0
140,Mewelde Moore,MIN,22,rb,10,3,32,27,84.4%,238,8.8,0,26,2.7,23.8,0
141,Reggie Williams,JAX,21,WR,16,15,54,27,50.0%,268,9.9,1,26,1.7,16.8,1
142,Richie Anderson,DAL,33,fb/rb,12,4,41,26,63.4%,207,8.0,0,28,2.2,17.3,1
143,Kevin Faulk,NWE,28,rb,11,1,30,26,86.7%,248,9.5,1,31,2.4,22.5,2
144,Randy Hymes,BAL,25,wr,14,7,48,26,54.2%,323,12.4,2,57,1.9,23.1,0
145,Aaron Shea,CLE,28,TE,15,8,48,26,54.2%,252,9.7,4,35,1.7,16.8,0
146,Derrick Blaylock,KAN,25,rb,12,5,36,25,69.4%,246,9.8,1,30,2.1,20.5,0
147,Dallas Clark,IND,25,TE,15,13,39,25,64.1%,423,16.9,5,80,1.7,28.2,2
148,Dante Hall,KAN,26,wr,16,6,38,25,65.8%,230,9.2,0,22,1.6,14.4,1
149,Erron Kinney,TEN,27,TE,9,9,30,25,83.3%,193,7.7,3,21,2.8,21.4,0
150,Shad Meier,TEN,26,fb/te,14,6,36,25,69.4%,127,5.1,2,29,1.8,9.1,1
151,Kenny Watson,CIN,26,,16,0,35,25,71.4%,171,6.8,1,21,1.6,10.7,2
152,Daniel Wilcox,BAL,27,te/wr,16,5,35,25,71.4%,219,8.8,1,20,1.6,13.7,1
153,Tim Brown,TAM,38,wr,15,4,31,24,77.4%,200,8.3,1,21,1.6,13.3,2
154,Desmond Clark,CHI,27,TE,15,13,49,24,49.0%,282,11.8,1,31,1.6,18.8,1
155,Robert Ferguson,GNB,25,wr,13,5,49,24,49.0%,367,15.3,1,48,1.8,28.2,1
